filename,HCI#,mouse num,Tumor,sample info,date,slide #,path
slide-2022-06-27T09-00-36-R1-S5,,28202,B,B MF Olig2 TE 6/22,,5,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-00-36-R1-S5.mrxs
slide-2022-06-27T09-10-52-R1-S6,,26279,T1,T1 Olig2 TE 6/22,,3,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-10-52-R1-S6.mrxs
slide-2022-06-27T09-16-54-R1-S7,,28208,T1,T1 MF Olig2 TE 6/22,,4,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-16-54-R1-S7.mrxs
slide-2022-06-27T09-26-18-R1-S8,22,26274,T1,T1 Olig2 TE 6/22,,5,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-26-18-R1-S8.mrxs
slide-2022-06-27T09-29-25-R1-S9,,28202,T1,T1 MF Olig2 TE 6/22,,5,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-29-25-R1-S9.mrxs
slide-2022-06-27T09-33-34-R1-S10,22,26276,T1,T1 Olig2 TE 6/22,,5,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-33-34-R1-S10.mrxs
slide-2022-06-27T09-36-20-R1-S11,,28207,T1,T1 MF Olig2 TE 6/22,,5,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-36-20-R1-S11.mrxs
slide-2022-06-27T09-52-03-R1-S12,,28203,T1,T1 MF Olig2 TE 6/22,,4,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-52-03-R1-S12.mrxs
slide-2022-05-20T14-24-29-R1-S1,22,26014,T1,,,1,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T14-24-29-R1-S1.mrxs
slide-2022-05-20T14-41-04-R1-S2,21,26281,,,,1,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T14-41-04-R1-S2.mrxs
slide-2022-05-20T14-52-51-R1-S3,22,26037,T1,,,1,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T14-52-51-R1-S3.mrxs
slide-2022-05-20T15-02-41-R1-S4,,29387,B,,,1,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T15-02-41-R1-S4.mrxs
slide-2022-05-20T15-23-33-R1-S5,,29409,B,,,1,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T15-23-33-R1-S5.mrxs
slide-2022-05-21T13-28-57-R1-S1,,29409,B,Perk,TE 5/3/22,3,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T13-28-57-R1-S1.mrxs
slide-2022-05-21T13-48-20-R1-S2,,29409,B,Ki67,TE 5/12,2,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T13-48-20-R1-S2.mrxs
slide-2022-05-21T14-05-47-R1-S3,21,26012,B,Perk,T 5/12,2,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T14-05-47-R1-S3.mrxs
slide-2022-05-21T14-20-03-R1-S4,,28205,B,Ki67,,3,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T14-20-03-R1-S4.mrxs
slide-2022-05-21T14-32-56-R1-S5,21,26281,B,Perk,TE 5/12,3,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T14-32-56-R1-S5.mrxs
slide-2022-05-21T14-50-37-R1-S6,21,26281,B,Ki67,TE 5/12,2,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T14-50-37-R1-S6.mrxs
slide-2022-05-24T12-50-14-R1-S1,,29387,B,Ki67,TE 5/10,,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T12-50-14-R1-S1.mrxs
slide-2022-05-24T12-56-53-R1-S2,,29387,B,Perk,TE 5/2,2,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T12-56-53-R1-S2.mrxs
slide-2022-05-24T13-04-47-R1-S3,22,26037,T1,Ki67,TE 5/10,3,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-04-47-R1-S3.mrxs
slide-2022-05-24T13-13-07-R1-S4,22,26037,T1,Perk,TE 5/3,2,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-13-07-R1-S4.mrxs
slide-2022-05-24T13-20-55-R1-S5,22,26014,T1,Perk,TE 5/3,2,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-20-55-R1-S5.mrxs
slide-2022-05-24T13-26-59-R1-S6,22,26014,T1,Ki67,TE 5/10,5,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-26-59-R1-S6.mrxs
slide-2022-05-24T13-33-34-R1-S7,,28202,T1,Ki67,,3,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-33-34-R1-S7.mrxs
slide-2022-06-07T11-49-09-R1-S1,,28204,B,Perk,,5,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T11-49-09-R1-S1.mrxs
slide-2022-06-07T12-04-12-R1-S2,21,26280,B,Ki67,TE 5/12,2,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-04-12-R1-S2.mrxs
slide-2022-06-07T12-14-00-R1-S4,,28202,T1,Ki67,,3,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-14-00-R1-S4.mrxs
slide-2022-06-07T12-18-53-R1-S5,,29387,B,Perk,TE 5/2,2,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-18-53-R1-S5.mrxs
slide-2022-06-07T12-31-40-R1-S6,,29387,B,Ki67,TE 5/10,3,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-31-40-R1-S6.mrxs
slide-2022-06-07T12-54-29-R1-S1,22,28893,B,,,1,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-54-29-R1-S1.mrxs
slide-2022-06-07T13-07-50-R1-S2,21,267280,,,,1,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T13-07-50-R1-S2.mrxs
slide-2022-06-27T10-08-47-R1-S1,22,26014,T1,Ki67,TE 6/22,3,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-08-47-R1-S1.mrxs
slide-2022-06-27T10-15-27-R1-S2,22,26009,T1,Ki67,TE 6/22,1,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-15-27-R1-S2.mrxs
slide-2022-06-27T10-30-38-R1-S3,,28202,T1 MF,GFAP,TE 6/22,4,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-30-38-R1-S3.mrxs
slide-2022-06-27T10-34-54-R1-S4,,28202,T1 MF,Synaptophysin,TE 6/22,2,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-34-54-R1-S4.mrxs
slide-2022-06-27T10-39-46-R1-S5,,28202,B MF,Synaptophysin,TE 6/22,3,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-39-46-R1-S5.mrxs
slide-2022-06-27T10-51-24-R1-S6,,28203,T1 MF,GFAP,TE 6/22,2,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-51-24-R1-S6.mrxs
slide-2022-06-27T10-56-57-R1-S7,,28208,T1 MF,GFAP,TE 6/22,1,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-56-57-R1-S7.mrxs
slide-2022-06-27T11-06-52-R1-S8,22,26276,T1,Synaptophysin,TE 6/22,4,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-06-52-R1-S8.mrxs
slide-2022-06-27T11-11-41-R1-S9,22,26037,T1,Synaptophysin,TE 6/22,2,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-11-41-R1-S9.mrxs
slide-2022-06-27T11-20-51-R1-S10,,28208,T1 MF,Synaptophysin,TE 6/22,2,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-20-51-R1-S10.mrxs
slide-2022-06-27T11-31-46-R1-S11,22,26014,T1,Synaptophysin,TE 6/22,1,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-31-46-R1-S11.mrxs
slide-2022-06-27T11-38-09-R1-S12,,28203,T1 MF,Synaptophysin,TE 6/22,3,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-38-09-R1-S12.mrxs
slide-2022-04-06T14-00-50-R1-S1,,28202,T1,,,1,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/slide-2022-04-06T14-00-50-R1-S1.mrxs
slide-2022-04-06T14-40-53-R1-S5,,28205,B MF,,,1,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/slide-2022-04-06T14-40-53-R1-S5.mrxs
slide-2022-04-06T15-14-33-R1-S7,20,26012,BR,,,3,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/slide-2022-04-06T15-14-33-R1-S7.mrxs
slide-2022-04-22T08-54-49-R1-S3,,28205,B,Perk,,5,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/slide-2022-04-22T08-54-49-R1-S3.mrxs
slide-2021-09-16T13-36-14-R2-S1,20,23291,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T13-36-14-R2-S1.mrxs
slide-2021-09-16T13-47-44-R2-S2,20,23294,BR,,,6,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T13-47-44-R2-S2.mrxs
slide-2021-09-16T13-59-12-R2-S3,20,23527,BR,,,6,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T13-59-12-R2-S3.mrxs
slide-2021-09-16T14-13-58-R2-S4,20,23785,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T14-13-58-R2-S4.mrxs
slide-2021-09-16T14-27-29-R2-S5,20,23786,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T14-27-29-R2-S5.mrxs
slide-2021-09-16T14-51-11-R2-S6,20,23792,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T14-51-11-R2-S6.mrxs
slide-2021-09-16T15-03-08-R2-S7,20,23823,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T15-03-08-R2-S7.mrxs
slide-2021-09-16T15-16-24-R2-S8,20,23866,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T15-16-24-R2-S8.mrxs
slide-2021-09-16T15-29-36-R2-S9,20,25690,,original,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T15-29-36-R2-S9.mrxs
slide-2021-09-16T15-43-10-R2-S10,20,25694,,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T15-43-10-R2-S10.mrxs
slide-2021-09-16T15-53-50-R2-S11,20,25741,,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T15-53-50-R2-S11.mrxs
slide-2021-09-16T16-18-38-R2-S12,20,25767,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T16-18-38-R2-S12.mrxs
slide-2021-09-16T18-19-28-R2-S1,20,26012,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T18-19-28-R2-S1.mrxs
slide-2021-09-16T18-31-47-R2-S2,20,26066,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T18-31-47-R2-S2.mrxs
slide-2021-09-16T18-43-19-R2-S3,20,26137,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T18-43-19-R2-S3.mrxs
slide-2021-09-16T18-53-07-R2-S4,21,26138,,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T18-53-07-R2-S4.mrxs
slide-2021-09-16T19-09-51-R2-S5,21,26143,,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T19-09-51-R2-S5.mrxs
slide-2021-09-29T10-17-35-R2-S1,20,23966,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-29T10-17-35-R2-S1.mrxs
slide-2021-09-29T10-29-20-R2-S2,20,25025,BR,,,3,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-29T10-29-20-R2-S2.mrxs
slide-2021-07-08T12-10-27-R1-S1,,,,,,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T12-10-27-R1-S1.mrxs
slide-2021-07-08T12-29-52-R1-S3,,,,,,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T12-29-52-R1-S3.mrxs
slide-2021-07-08T12-44-31-R1-S5,,,,,,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T12-44-31-R1-S5.mrxs
slide-2021-07-08T12-58-17-R1-S7,,,,,,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T12-58-17-R1-S7.mrxs
slide-2021-07-08T13-14-38-R1-S9,,,,,,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T13-14-38-R1-S9.mrxs
slide-2021-07-08T13-24-54-R1-S10,20,23527,BR,*,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T13-24-54-R1-S10.mrxs
slide-2021-07-08T13-37-23-R1-S11,20,25025,BR,*,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T13-37-23-R1-S11.mrxs
slide-2021-07-08T13-52-47-R1-S12,20,25503,BR,*,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T13-52-47-R1-S12.mrxs
slide-2021-07-08T14-12-04-R3-S1,20,22846,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T14-12-04-R3-S1.mrxs
slide-2021-07-08T14-23-21-R3-S2,20,23397,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T14-23-21-R3-S2.mrxs
slide-2021-07-08T14-35-36-R3-S3,20,23785,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T14-35-36-R3-S3.mrxs
slide-2021-07-08T14-47-22-R3-S4,20,23786,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T14-47-22-R3-S4.mrxs
slide-2021-07-08T15-02-29-R3-S5,20,23787,BR,,,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T15-02-29-R3-S5.mrxs
slide-2021-07-08T15-12-04-R3-S6,20,23791,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T15-12-04-R3-S6.mrxs
slide-2021-07-08T15-24-32-R3-S7,20,23792,BR,?,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T15-24-32-R3-S7.mrxs
slide-2021-07-08T15-36-41-R3-S8,20,23823,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T15-36-41-R3-S8.mrxs
slide-2021-07-08T15-48-58-R3-S9,20,23826,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T15-48-58-R3-S9.mrxs
slide-2021-07-08T16-00-06-R3-S10,20,23966,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T16-00-06-R3-S10.mrxs
slide-2021-07-08T16-11-12-R3-S11,20,23967,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T16-11-12-R3-S11.mrxs
slide-2021-07-08T16-22-37-R3-S12,20,23866,BR,,,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-08T16-22-37-R3-S12.mrxs
slide-2021-07-09T11-34-45-R1-S1,-,-,-,-,-,-,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T11-34-45-R1-S1.mrxs
slide-2021-07-09T11-46-57-R1-S2,20,24988,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T11-46-57-R1-S2.mrxs
slide-2021-07-09T12-20-10-R1-S4,20,25692,,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T12-20-10-R1-S4.mrxs
slide-2021-07-09T12-35-06-R1-S5,20,25694,,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T12-35-06-R1-S5.mrxs
slide-2021-07-09T12-50-19-R1-S6,20,25767,BR,*,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T12-50-19-R1-S6.mrxs
slide-2021-07-09T13-04-24-R1-S7,21,26012,,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T13-04-24-R1-S7.mrxs
slide-2021-07-09T13-17-17-R1-S8,21,26066,,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T13-17-17-R1-S8.mrxs
slide-2021-07-09T13-29-46-R1-S9,20,24986,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T13-29-46-R1-S9.mrxs
slide-2021-07-09T15-17-53-R2-S1,21,26137,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T15-17-53-R2-S1.mrxs
slide-2021-07-09T15-28-06-R2-S2,20,23526,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T15-28-06-R2-S2.mrxs
slide-2021-07-09T15-44-35-R2-S3,20,23524,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T15-44-35-R2-S3.mrxs
slide-2021-07-09T15-54-35-R2-S4,20,23467,BR,,,,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T15-54-35-R2-S4.mrxs
slide-2021-07-09T16-11-41-R2-S5,20,23294,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T16-11-41-R2-S5.mrxs
slide-2021-07-09T17-02-53-R2-S6,20,23291,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T17-02-53-R2-S6.mrxs
slide-2021-07-09T17-15-51-R2-S7,20,23293,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T17-15-51-R2-S7.mrxs
slide-2021-07-09T17-28-46-R2-S8,20,23287,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T17-28-46-R2-S8.mrxs
slide-2021-07-09T17-44-02-R2-S9,20,23270,BR,,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T17-44-02-R2-S9.mrxs
slide-2021-07-09T17-57-55-R2-S10,20,22925,BR,tumor on bottom of brain,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/slide-2021-07-09T17-57-55-R2-S10.mrxs
slide-2021-08-19T10-30-05-R4-S2,20,25503,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/Not Glioma/slide-2021-08-19T10-30-05-R4-S2.mrxs
slide-2021-08-19T11-10-25-R4-S5,20,23293,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/Not Glioma/slide-2021-08-19T11-10-25-R4-S5.mrxs
slide-2021-08-19T10-20-05-R4-S1,20,23294,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T10-20-05-R4-S1.mrxs
slide-2021-08-19T10-47-05-R4-S3,20,26012,BR,Ki67,8/3/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T10-47-05-R4-S3.mrxs
slide-2021-08-19T10-57-31-R4-S4,20,23527,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T10-57-31-R4-S4.mrxs
slide-2021-08-19T11-22-56-R4-S6,20,23291,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T11-22-56-R4-S6.mrxs
slide-2021-08-19T11-34-26-R4-S7,20,23966,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T11-34-26-R4-S7.mrxs
slide-2021-08-19T11-50-02-R4-S8,20,25767,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T11-50-02-R4-S8.mrxs
slide-2021-08-19T12-05-54-R4-S9,20,25025,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T12-05-54-R4-S9.mrxs
slide-2021-08-19T12-23-02-R4-S10,20,23785,BR,Ki67,,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T12-23-02-R4-S10.mrxs
slide-2021-08-19T12-37-50-R4-S11,21,26143,,Ki67,8/3/21,1,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma Ki67/slide-2021-08-19T12-37-50-R4-S11.mrxs
