hci_number,mouse_num,tumor,staining,path,folder,filename,img_date,prep_by,slide_date,slide_label,slide_number,necropsy_file_path
NA,28203,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T12-17-14-R1-S6.mrxs,E:/CaseViewer Files/ihc nf1 glioma/KI67/,slide-2022-06-22T12-17-14-R1-S6,2022-06-22,TE,NA,T1 Ki67,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28203-11.xlsx
22,26279,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/KI67/slide-2022-06-22T12-24-53-R1-S7.mrxs,E:/CaseViewer Files/ihc nf1 glioma/KI67/,slide-2022-06-22T12-24-53-R1-S7,2022-06-22,TE,2022-05-10,T1 Ki67 TE 5/10,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26279.xlsx
22,26037,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T08-29-48-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T08-29-48-R1-S1,2022-06-27,TE,2022-06-22,T1 Olig2 TE 6/22,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26037.xlsx
NA,28200,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T08-37-19-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T08-37-19-R1-S2,2022-06-27,TE,2022-06-22,T1 Olig2 TE 6/22,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-28200-00.xlsx
22,26014,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T08-40-01-R1-S3.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T08-40-01-R1-S3,2022-06-27,TE,2022-06-22,T1 Olig2 TE 6/22,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26014.xlsx
22,26009,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T08-46-25-R1-S4.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T08-46-25-R1-S4,2022-06-27,TE,2022-06-22,T1 Olig2 TE 6/22,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26009.xlsx
NA,28202,B,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-00-36-R1-S5.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T09-00-36-R1-S5,2022-06-27,TE,2022-06-22,B MF Olig2 TE 6/22,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
NA,26279,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-10-52-R1-S6.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T09-10-52-R1-S6,2022-06-27,TE,2022-06-22,T1 Olig2 TE 6/22,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26279.xlsx
NA,28208,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-16-54-R1-S7.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T09-16-54-R1-S7,2022-06-27,TE,2022-06-22,T1 MF Olig2 TE 6/22,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28208-11.xlsx
22,26274,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-26-18-R1-S8.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T09-26-18-R1-S8,2022-06-27,TE,2022-06-22,T1 Olig2 TE 6/22,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-20-26274.xlsx
NA,28202,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-29-25-R1-S9.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T09-29-25-R1-S9,2022-06-27,TE,2022-06-22,T1 MF Olig2 TE 6/22,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
22,26276,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-33-34-R1-S10.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T09-33-34-R1-S10,2022-06-27,TE,2022-06-22,T1 Olig2 TE 6/22,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26276.xlsx
NA,28207,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-36-20-R1-S11.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T09-36-20-R1-S11,2022-06-27,TE,2022-06-22,T1 MF Olig2 TE 6/22,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28207-10.xlsx
NA,28203,T1,Olig2,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/slide-2022-06-27T09-52-03-R1-S12.mrxs,E:/CaseViewer Files/ihc nf1 glioma/OLIG2/,slide-2022-06-27T09-52-03-R1-S12,2022-06-27,TE,2022-06-22,T1 MF Olig2 TE 6/22,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28203-11.xlsx
22,26014,T1,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T14-24-29-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-20T14-24-29-R1-S1,2022-05-20,TE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26014.xlsx
21,26281,NA,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T14-41-04-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-20T14-41-04-R1-S2,2022-05-20,TE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26281.xlsx
22,26037,T1,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T14-52-51-R1-S3.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-20T14-52-51-R1-S3,2022-05-20,TE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26037.xlsx
NA,29387,B,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T15-02-41-R1-S4.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-20T15-02-41-R1-S4,2022-05-20,TE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29387-00.xlsx
NA,29409,B,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-20T15-23-33-R1-S5.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-20T15-23-33-R1-S5,2022-05-20,TE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29409-10.xlsx
NA,29409,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T13-28-57-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-21T13-28-57-R1-S1,2022-05-21,TE,2022-05-03,Perk,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29409-10.xlsx
NA,29409,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T13-48-20-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-21T13-48-20-R1-S2,2022-05-21,TE,2022-05-12,Ki67,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29409-10.xlsx
21,26012,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T14-05-47-R1-S3.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-21T14-05-47-R1-S3,2022-05-21,TE,2022-05-12,Perk,2,NA
NA,28205,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T14-20-03-R1-S4.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-21T14-20-03-R1-S4,2022-05-21,TE,NA,Ki67,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28205-01.xlsx
21,26281,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T14-32-56-R1-S5.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-21T14-32-56-R1-S5,2022-05-21,TE,2022-05-12,Perk,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26281.xlsx
21,26281,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-21T14-50-37-R1-S6.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-21T14-50-37-R1-S6,2022-05-21,TE,2022-05-12,Ki67,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26281.xlsx
NA,29387,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T12-50-14-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-24T12-50-14-R1-S1,2022-05-24,TE,2022-05-10,Ki67,NA,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29387-00.xlsx
NA,29387,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T12-56-53-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-24T12-56-53-R1-S2,2022-05-24,TE,2022-05-02,Perk,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29387-00.xlsx
22,26037,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-04-47-R1-S3.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-24T13-04-47-R1-S3,2022-05-24,TE,2022-05-10,Ki67,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26037.xlsx
22,26037,T1,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-13-07-R1-S4.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-24T13-13-07-R1-S4,2022-05-24,TE,2022-05-03,Perk,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26037.xlsx
22,26014,T1,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-20-55-R1-S5.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-24T13-20-55-R1-S5,2022-05-24,TE,2022-05-03,Perk,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26014.xlsx
22,26014,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-26-59-R1-S6.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-24T13-26-59-R1-S6,2022-05-24,TE,2022-05-10,Ki67,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26014.xlsx
NA,28202,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-05-24T13-33-34-R1-S7.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-05-24T13-33-34-R1-S7,2022-05-24,TE,NA,Ki67,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
NA,28204,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T11-49-09-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-06-07T11-49-09-R1-S1,2022-06-07,TE,NA,Perk,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28204-00.xlsx
21,26280,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-04-12-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-06-07T12-04-12-R1-S2,2022-06-07,TE,2022-05-12,Ki67,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26280.xlsx
NA,28202,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-14-00-R1-S4.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-06-07T12-14-00-R1-S4,2022-06-07,TE,NA,Ki67,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
NA,29387,B,PERK,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-18-53-R1-S5.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-06-07T12-18-53-R1-S5,2022-06-07,TE,2022-05-02,Perk,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29387-00.xlsx
NA,29387,B,Ki67,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-31-40-R1-S6.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-06-07T12-31-40-R1-S6,2022-06-07,TE,2022-05-10,Ki67,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-29387-00.xlsx
22,28893,B,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T12-54-29-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-06-07T12-54-29-R1-S1,2022-06-07,TE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-22-28893-03.xlsx
21,26280,NA,H&E,E:/CaseViewer Files/ihc nf1 glioma/slide-2022-06-07T13-07-50-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/,slide-2022-06-07T13-07-50-R1-S2,2022-06-07,TE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26280.xlsx
22,26014,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-08-47-R1-S1.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T10-08-47-R1-S1,2022-06-27,TE,2022-06-22,Ki67,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26014.xlsx
22,26009,T1,Ki67,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-15-27-R1-S2.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T10-15-27-R1-S2,2022-06-27,TE,2022-06-22,Ki67,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26009.xlsx
NA,28202,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-30-38-R1-S3.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T10-30-38-R1-S3,2022-06-27,TE,2022-06-22,GFAP,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
NA,28202,T1,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-34-54-R1-S4.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T10-34-54-R1-S4,2022-06-27,TE,2022-06-22,Synaptophysin,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
NA,28202,B,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-39-46-R1-S5.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T10-39-46-R1-S5,2022-06-27,TE,2022-06-22,Synaptophysin,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
NA,28203,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-51-24-R1-S6.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T10-51-24-R1-S6,2022-06-27,TE,2022-06-22,GFAP,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28203-11.xlsx
NA,28208,T1,GFAP,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T10-56-57-R1-S7.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T10-56-57-R1-S7,2022-06-27,TE,2022-06-22,GFAP,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28208-11.xlsx
22,26276,T1,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-06-52-R1-S8.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T11-06-52-R1-S8,2022-06-27,TE,2022-06-22,Synaptophysin,4,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26276.xlsx
22,26037,T1,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-11-41-R1-S9.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T11-11-41-R1-S9,2022-06-27,TE,2022-06-22,Synaptophysin,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26037.xlsx
NA,28208,T1,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-20-51-R1-S10.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T11-20-51-R1-S10,2022-06-27,TE,2022-06-22,Synaptophysin,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28208-11.xlsx
22,26014,T1,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-31-46-R1-S11.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T11-31-46-R1-S11,2022-06-27,TE,2022-06-22,Synaptophysin,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-26014.xlsx
NA,28203,T1,Synaptophysin,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/slide-2022-06-27T11-38-09-R1-S12.mrxs,E:/CaseViewer Files/ihc nf1 glioma/Synaptophysin and GFAP and KI67/,slide-2022-06-27T11-38-09-R1-S12,2022-06-27,TE,2022-06-22,Synaptophysin,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28203-11.xlsx
NA,28202,T1,H&E,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/slide-2022-04-06T14-00-50-R1-S1.mrxs,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/,slide-2022-04-06T14-00-50-R1-S1,2022-04-06,RE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28202-10.xlsx
NA,28205,B,H&E,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/slide-2022-04-06T14-40-53-R1-S5.mrxs,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/,slide-2022-04-06T14-40-53-R1-S5,2022-04-06,RE,NA,NA,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28205-01.xlsx
20,26012,B,H&E,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/slide-2022-04-06T15-14-33-R1-S7.mrxs,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/,slide-2022-04-06T15-14-33-R1-S7,2022-04-06,RE,NA,NA,3,NA
NA,28205,B,PERK,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/slide-2022-04-22T08-54-49-R1-S3.mrxs,E:/CaseViewer Files/NF1 Glioma IHC Figure Files/,slide-2022-04-22T08-54-49-R1-S3,2022-04-22,RE,NA,Perk,5,X:/Holmen Lab/Necropsy files/Mouse Necropsy - HCI-21-28205-01.xlsx
20,23291,B,H&E,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T13-36-14-R2-S1.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/,slide-2021-09-16T13-36-14-R2-S1,2021-09-16,RH,NA,NA,3,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23291.xls
20,23294,B,H&E,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/slide-2021-09-16T13-47-44-R2-S2.mrxs,E:/CaseViewer Files/Rick Heinz Caseviewer Files/RH020/Glioma H&E/Serial H&E/,slide-2021-09-16T13-47-44-R2-S2,2021-09-16,RH,NA,NA,6,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23294.xls
