exclude,mouse_num,src,strain_injection,strain,injected_with,resultant_geno,dob,injection_date,death_date_true,aod,exp_end_date,behavior_date,mri_imaging_date,observable_tumor_date,end_date,found_dead,injected_by,number_of_cells_injected,vol_injected,index,mouse_id,cage_strain,ntva,pten,ink4a,atrx,h11cas9,tyr_cre,cic,dtva,cage_number,sex,g_comments,metadata
NA,22925,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-03-03,2020-03-05,2020-06-18,105,NA,2020-06-16,NA,NA,NA,NA,RH,5x105,5uL,6632,22925-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1351-2-2,M,"protruding rectum, walking funny",NA
NA,22926,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-03-03,2020-03-05,2020-05-24,80,NA,NA,NA,2020-05-24,NA,NA,RH,5x105,5uL,6633,22926-01 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1351-2-2,M,Sac - tumor invading left eye/domed head,NA
NA,23021,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-03-03,2020-03-05,2020-06-06,93,NA,NA,NA,2020-05-24,NA,NA,RH,5x105,5uL,6634,23021-00 (br),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1351-2-2,M,domed head + disfigurement,NA
NA,23269,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-01,2020-04-05,2020-09-02,150,2020-09-02,NA,NA,NA,NA,NA,RH,5x105,5uL,7040,23269-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1380-1-1,F,Experimental endpoint,NA
NA,23270,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-01,2020-04-05,2020-07-01,87,NA,2020-06-29,NA,NA,NA,NA,RH,5x105,5uL,7041,23270-00 (br),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1380-1-1,F,partially paralyzed,NA
NA,23271,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-01,2020-04-05,2020-07-21,107,NA,2020-07-21,NA,NA,NA,NA,RH,5x105,5uL,7042,23271-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1380-1-2,M,Disfigured head and partial paralysis sacked,NA
NA,23286,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-07-13,99,NA,2020-06-16,NA,NA,NA,NA,RH,5x105,5uL,7062,23286-00,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,"Difficulty walking, partial paralysis",NA
NA,23287,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-07-01,87,NA,2020-06-17,NA,NA,NA,NA,RH,5x105,5uL,7063,23287-01,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1380-1-1,F,Slight disfigurement over eye,NA
NA,23288,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-06-15,71,NA,NA,NA,2020-06-04,NA,NA,RH,5x105,5uL,7064,23288-03,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,Large domed head,NA
NA,23289,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-06-19,75,NA,2020-06-19,NA,NA,NA,NA,RH,5x105,5uL,7065,23289-10,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,Paralyzed and was sacked.,NA
NA,23290,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-07-13,99,NA,2020-07-13,NA,NA,NA,NA,RH,5x105,5uL,7066,23290-30,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,NA,NA
NA,23291,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-06-29,85,NA,NA,NA,2020-06-11,NA,NA,RH,5x105,5uL,7067,23291-11,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1378-1-1,F,Domed head observed,NA
NA,23292,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-08-26,143,NA,2020-08-25,NA,NA,NA,NA,RH,5x105,5uL,7068,23292-33,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1380-1-2,M,Slight paralysis noticed,NA
NA,23293,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-06-26,82,NA,2020-06-16,NA,NA,NA,NA,RH,5x105,5uL,7069,23293-01,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1380-1-2,M,"Difficulty walking, partial paralysis",NA
NA,23294,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-07-21,107,NA,NA,NA,2020-06-16,NA,NA,RH,5x105,5uL,7071,23294-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,Domed head observed,NA
NA,23295,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-07-27,113,NA,NA,NA,2020-06-16,NA,NA,RH,5x105,5uL,7072,23295-00 (br),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,Domed head observed,NA
NA,23296,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-06-26,82,NA,2020-06-17,NA,NA,NA,NA,RH,5x105,5uL,7073,23296-01,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,weakness in back legs,NA
2,23297,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-08-21,138,NA,2020-08-14,NA,2020-08-04,NA,NA,RH,5x105,5uL,7074,23297-03,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-1,F,Domed head observed,conflicting death dates in cohort vs. genotyping files. 2020-08-21 vs. 2020-08-04 used cohort date but can exclude from analysis if desired.
NA,23298,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-07-08,94,NA,2020-07-06,NA,NA,NA,NA,RH,5x105,5uL,7075,23298-00 (wh),n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-2,M,Partialy paralysis observed,NA
2,23299,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-08-07,124,NA,2020-07-27,NA,NA,NA,NA,RH,5x105,5uL,7076,23299-01,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-2,M,Partialy paralysis observed,conflicting death dates in cohort vs. genotyping files. 2020-08-07 vs. 2020-07-27 used cohort date but can exclude from analysis if desired.
NA,23300,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-06-12,68,NA,2020-06-12,NA,NA,NA,NA,RH,5x105,5uL,7077,23300-03,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-2,M,"Sacked, difficulty walking, no domed head",NA
NA,23301,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx KO,2020-04-03,2020-04-05,2020-07-17,103,NA,2020-07-08,NA,NA,NA,NA,RH,5x105,5uL,7078,23301-10,n-tva;ptenf/f;atrxf/f;cas9f/f;ink4af/f,tg/+,f/f,f/f,f/f,f/f,pwt,pwt,pwt,1379-1-2,M,Partial paralysis observed,NA
NA,23397,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-04-10,2020-04-11,2020-06-26,76,NA,2020-06-26,NA,2020-06-08,NA,NA,RH,5x105,5uL,7188,23397-00,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1372-2-1,F,Domed head noticed,NA
1,23399,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,tva negative,2020-04-10,2020-04-11,2020-08-04,115,NA,NA,NA,NA,NA,NA,RH,5x105,5uL,7190,23399-00,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,+/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1372-2-2,M,Sacked for TVA status,TVA- on cohort data and/or genotyping
NA,23400,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-04-10,2020-04-11,2020-06-01,51,NA,2020-05-20,NA,NA,NA,NA,RH,5x105,5uL,7191,23400-01,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1372-2-3,M,Difficulty breathing and moving,NA
1,23401,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-04-10,2020-04-11,2020-05-03,22,NA,NA,NA,NA,NA,NA,RH,5x105,5uL,7192,23401-03,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1372-2-4,M,"Sac - GP (leg broken, distress/pain)",excluded because was designated for exclusion on rick's excel sheet. No excplicit reason given. 
NA,23460,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-04-18,2020-04-20,2020-09-09,142,NA,2020-09-08,NA,NA,NA,NA,RH,5x105,5uL,7265,23460-00,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1385-1-1,F,NA,NA
NA,23461,RH,"N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+, injected with: RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",N::TVA; H11LSL-Cas9 f/f; Pten f/f; Ink4a/Arf f/f; ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,nf1 KO; pten KO; ink KO; atrx wt,2020-04-18,2020-04-20,2020-06-19,60,NA,2020-06-16,NA,NA,NA,NA,RH,5x105,5uL,7266,23461-01,n-tva;pten f/+; ink4a/arff/+;atrx-f/+;h11lsl-cas9  f/+,tg/+,f/f,f/f,+/+,f/f,pwt,pwt,pwt,1385-1-1,F,"Difficulty walking, partial paralysis",NA
