,,,,,,,,,,,,,Evidence of Tumor,,,Harvested,,,,,,,,,,,,,,,,For Survival Curves (highlighted grey if it should be excluded),,,"Tumor Classifications (1=yes, 0=no)",,,,,,,,,,Behavioral Conditions,,,Other Conditions,,,
exclude,Mouse ID (greyed out if it will be excluded from results),Shorthand Strain Name,Strain,Tyr-Cre status confirmed,Injected With,Injected By (highlighted green for variable I'm testing for),Number of Cells injected,Volume Injected (highlighted green for variable I'm testing for),Gender,TVA Status,Birth Date,Injection Date,Domed Head or Observable Tumor Date,Behavior Date,death_date,Brain_harvested,Other Organs_harvested,Behavior and Necropsy Notes,Fixed Tissue Still In Ethanol,highlighted blue,Brain Submission Date for Embedding and H&E (highlighted blue if block is useful as a control or otherwise includes a large tumor),Tumor or Other Tissue Submitted for Embedding and H&E either with the brain or separate,Brain H&E and IHC Notes,Sheri Has Seen H&E,Any hard proof of any kind of abnormal mass or enlargement after necropsy or brain H&E?,Full Slide Scan of H&E on External HD,Ki67 Result,Full Slide Scan of Ki67 on External HD,pERK Result (only listed if it was done),Full Slide Scan of pERK on External HD,Unstained Slides Available,Death Age or Current Age for Survival Curve,"Overall Survival: 1 if there was any evidence of tumor (visible, before necropsy or after IHC, behavior change or unexplained death), 0 if not","Tumor Free Survival: 1 only if there was any abnormal mass or enlargement visible upon necropsy or H&E, 0 if mouse survived to 150 days and had no tumor, exclude if death was early and no hard proof of tumor","Glioma Free Survival: 1 if a glioma (inside brain or infiltrating the brain, verified by Ki67), 0 if no observable glioma is present, exclude if H&E wasn't done or mouse was sacked before 150 days for whatever reason","Cranial Nerve Tumor? (Anything in the cranial cavity, but not necessarily infiltrating or inside the brain, most likely located under the brain)",Intracranial (glioma or outside of brain and still in skull) (Combo of previous 2),Head Tumor (outside of and connected to skull),"Lymph Node Tumor (wasn't always looking for, but noticed when they were big)",Lower Spinal Cord Tumor (unfortunatly didn't start looking for this until later),Eye Tumor (where it was clear it was the optical nerve and or involving the eye),"Auditory nerve? (Not connected to skull like head tumors, but on head and connected to skin sort of)",Cutaneous (skin somewhere on body),Rib Cage?,Lethargic/difficulty breathing/looked sick,Puffy/Full of Gas,Paralysis (from starting to drag hind legs to full on immobility),Hydrocephalus,Non tumor related reason for death,Nothing Abnormal,Found Dead
,22926-01 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,3/3/2020,3/5/2020,5/24/2020,,5/24/2020,yes,no,domed head and external tumor invading left eye,"missing sample, not sure if it was ever submitted for H&E",,,,,,yes,,,,,,,82,1,1,,,,1,,,,,,,,,,,,,
,23021-00 (br),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,3/3/2020,3/5/2020,5/24/2020,,6/6/2020,yes,no,"Large domed head and disfigurement, difficulty moving back legs (paralysis). Uppon Necropsy massive tumor enveloping brain, face, and growing outside skull",,1,6/9/2020,head tumor,whole head sectioned with head tumor,yes,yes,,,,,,,95,1,1,0,,,1,,,,,,,,,1,,,,
,23269-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/1/2020,4/5/2020,,,9/2/2020,yes,no,"Experiment end date, all looked normal. No symptoms",,,9/10/2020,no,no glioma observable,yes,no,,,,,,,154,0,0,0,,,,,,,,,,,,,,,1,
,23270-00 (br),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/1/2020,4/5/2020,,6/29/2020,7/1/2020,yes,no,Mouse was fully paralyzed,,,7/6/2020,no,"Sheri thinks she sees a leptomeningeal tumor in the original H&E, but gone in the second H&E, high background for Ki67 and no pERK, call this negative for glioma",yes,no,yes,negative,,negative,,2,91,1,0,0,,,,,,,,,,,,1,,,,
,23271-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/1/2020,4/5/2020,,7/21/2020,7/21/2020,yes,no,"Slightly disfigured face, swollen eyes (no tumor seen outside skull), and paralyzed, indentation on top of head between lobes was filled with liquid",,,7/23/2020,no,odd necrotic area,yes,no,,,,,,,111,1,0,0,,,,,,,,,,,,1,,,,
,23286-00,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,,6/16/2020,7/13/2020,yes,no,Slightly enlarged posterior cranial nerves but brain looked normal,,,7/23/2020,no,no glioma observable,yes,yes,,,,,,,101,1,1,0,1,1,,,,,,,,,,,,,,
,23287-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,,6/17/2020,7/1/2020,yes,no,Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on/in eye as well.,,1,7/6/2020,mass under brain,tumor under brain ,yes,yes,yes,,,,,,89,1,1,0,1,1,1,,,1,,,,,,,,,,
,23288-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,6/4/2020,,6/15/2020,yes,no,"Very large domed head, disfigurement, growth over eye and paralyzation of back legs. Tumor enveloping skull.",,1,6/22/2020,head tumor,whole head sectioned with head tumor,yes,yes,,positive,,positive,,3,73,1,1,0,,,1,,,,,,,,,1,,,,
,23289-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,,6/19/2020,6/19/2020,yes,no,Complete paralysis,,,6/22/2020,no,no glioma observable,yes,no,,,,,,,77,1,0,0,,,,,,,,,,,,1,,,,
,23290-30,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,,7/13/2020,7/13/2020,yes,no,Slightly enlarged cranial nerves but brain looked normal,,,7/23/2020,no,no glioma observable,yes,yes,,,,,,,101,1,1,0,1,1,,,,,,,,,,,,,,
,23291-11,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,Tg/Tg,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,6/11/2020,,6/29/2020,yes,no,"Effectively blind, tumors on face and head completely swelled eyes shut.",,,7/6/2020,no,"small low grade glioma towards the top of the center section, slight rosette pattern, more Ki67+ in the region of the tumor, pERK is negative, PTEN still looks present",yes,yes,yes,positive,yes,negative,yes,0,87,1,1,1,,1,1,,,,,,,,,,,,,
,23292-33,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/3/2020,4/5/2020,,8/25/2020,8/26/2020,yes,no,Mouse was completely paralyzed. Brain looked nromal,,,9/10/2020,no,no glioma observable,yes,no,,,,,,,145,1,0,0,,,,,,,,,,,,1,,,,
,23293-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/3/2020,4/5/2020,,6/16/2020,6/26/2020,yes,no,"Difficulty breathing, looked sick, slightly mishapen head. Bottom of brain was completely mush, normal tissue present and underneath brain grey/white mush slightly attached to brain. Could not see any cranial nerves.",,,7/6/2020,no,"Sheri noticed leptomeningeal tumor, looks like bits of tumor attached to base of brain, tumor is Ki67+, doesn't look like it is infiltrating though",yes,yes,yes,positive,yes,positive,,1,84,1,1,0,,1,,,,,,,,1,,,,,,
,23294-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,Tg/+,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,6/16/2020,,7/21/2020,yes,no,Very large tumor growing outside of skull + complete paralysis,extra head tumor,1,7/23/2020,head tumor,"low grade glioma on front section left side of mouse brain, mostly on side of brain, but also some towards the center as seen better with Ki67, distinct rosette pattern, pERK is negative, PTEN in tumor doesn't look much different from the rest of the brain",yes,yes,yes,positive,yes,negative,yes,1,109,1,1,1,,1,1,,,,,,,,,1,,,,
,23295-00 (br),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,6/16/2020,,7/27/2020,yes,no,3-4 Tumors on head larger than 2 cm. Brain slightly smaller than would be expected but otherwise normal,head tumor,,8/3/2020,no,"looks like the brain wasn't fixed well because it didn't slice cleanly, no observable glioma",yes,yes,,,,,,,115,1,1,0,,,1,,,,,,,,,,,,,
,23296-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,,6/17/2020,6/26/2020,yes,no,"complete paralysis, and extreme hunched back. brain looked normal if a little oddly shaped.",,,7/6/2020,no,no glioma observable,yes,no,,,,,,,84,1,0,0,,,,,,,,,,,,1,,,,
,23297-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/3/2020,4/5/2020,8/4/2020,8/14/2020,8/21/2020,yes,no,"mouse was paralyzed and slightly disfigured, brain looked normal",,,8/25/2020,no,no glioma observable,yes,no,,,,,,,140,1,0,0,,,,,,,,,,,,1,,,,
,23298-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/3/2020,4/5/2020,,7/6/2020,7/8/2020,yes,no,"Completely paralyzed, unable to void properly, brain looked normal.",,,7/23/2020,no,no glioma observable,yes,no,,,,,,,96,1,0,0,,,,,,,,,,,,1,,,,
,23299-01,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/3/2020,4/5/2020,,7/27/2020,8/7/2020,yes,no,Complete paralysis and two small growths on skull.,,,8/10/2020,no,no glioma observable,yes,yes,,,,,,,126,1,1,0,,,1,,,,,,,,,1,,,,
,23300-03,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/3/2020,4/5/2020,,6/12/2020,6/12/2020,yes,no,"paralyzed, difficulty moving back legs",,,6/22/2020,no,no glioma observable,yes,no,,,,,,,70,1,0,0,,,,,,,,,,,,1,,,,
,23301-10,NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/3/2020,4/5/2020,,7/8/2020,7/17/2020,yes,spinal cord,Paralyzed and difficulty breathing. Brain and spinal cord looked normal. Cranial nerves on left posterior portion slightly enlarged.,spinal cord,,7/23/2020,no,no glioma observable,yes,yes,,,,,,,105,1,1,0,1,1,,,,,,,,1,,1,,,,
,23397-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/10/2020,4/11/2020,6/8/2020,6/26/2020,6/26/2020,yes,no,complete paralysis + very hunched back and large white tumor underneath left parietal lobe,,1,7/6/2020,mass under brain,tumor under brain ,yes,yes,yes,,,,,,77,1,1,0,1,1,,,,,,,,,,1,,,,
1,23399-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA-,4/10/2020,4/11/2020,,,8/4/2020,yes,spinal cord,"TVA-, only fixed to use as a control",brain and spinal cord,,,,,,no,,,,,,,116,,,,,,,,,,,,,,,,,,,
,23400-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/10/2020,4/11/2020,,5/20/2020,6/1/2020,yes,no,Difficulty breathing and walking,,,6/9/2020,no,no glioma observable,yes,no,,,,,,,52,1,0,0,,,,,,,,,,1,,1,,,,
1,23401-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/10/2020,4/11/2020,,,5/3/2020,,,"Leg was broken mouse was sacked, mouse removed from study",,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,1,,
,23460-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/18/2020,4/20/2020,,9/8/2020,9/9/2020,yes,no,"had to sack because of prolapsed uterus, but this was close to experimental endpoint anyway",,,9/10/2020,no,no glioma observable,yes,no,,,,,,,144,1,0,0,,,,,,,,,,,,,,1,,
,23461-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/18/2020,4/20/2020,,6/16/2020,6/19/2020,yes,no,Animal was found paralyzed with inability to move any of its body from the front legs down.  Difficulty breathing,,,6/22/2020,no,no glioma observable,yes,no,,,,,,,62,1,0,0,,,,,,,,,,1,,1,,,,
,23463-00,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/18/2020,4/20/2020,6/4/2020,,6/29/2020,yes,no,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull. Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.",,1,7/6/2020,head tumor,whole head sectioned with head tumor,yes,yes,,,,,,,72,1,1,0,,,1,,,,,,,,,,,,,
,23464-01,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/18/2020,4/20/2020,6/4/2020,7/8/2020,7/8/2020,yes,no,"Paralyzed with small tumor growing above eye, brain looked nromal",,,7/23/2020,no,no glioma observable,yes,yes,,,,,,,81,1,1,0,,,1,,,,,,,,,1,,,,
,23465-03,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/18/2020,4/20/2020,6/4/2020,,6/29/2020,yes,no,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull. Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.",,1,7/6/2020,head tumor,whole head sectioned with head tumor,yes,yes,,,,,,,72,1,1,0,,,1,,,,,,,,,,,,,
,23466-10,NF-1 Control,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/18/2020,4/20/2020,6/4/2020,7/21/2020,7/21/2020,yes,no,"Lack of grooming, difficulty breathing, looked weak and sickly. Brain looked gray and pale but otherwise normal",,,7/23/2020,no,no glioma observable,yes,no,,,,,,,94,1,0,0,,,,,,,,,,1,,,,,,
,23467-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/19/2020,4/20/2020,7/8/2020,8/5/2020,8/5/2020,yes,no,"Domed head, weak and sickly, difficulty breathing. Very large tumor underneath brain emanating from left optic cranial nerve",,,8/10/2020,no,"big tumor on slide outside of brain, grade 2-3",yes,yes,yes,,,,,,108,1,1,0,,,,,,1,,,,1,,,,,,
,23468-00 (br),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/19/2020,4/20/2020,,8/26/2020,8/26/2020,yes,no,"Mouse was sick, difficulty breathing. Brain looked normal",,,9/10/2020,no,no glioma observable,yes,no,,,,,,,129,1,0,0,,,,,,,,,,1,,,,,,
,23469-00 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/19/2020,4/20/2020,,7/15/2020,7/16/2020,yes,spinal cord,"Slightly enlarged cranial nerves but brain looked normal, mouse was paralyzed",spinal cord,,7/23/2020,no,no glioma observable,yes,yes,,,,,,,88,1,1,0,1,1,,,,,,,,,,1,,,,
,23470-00 (br),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Male,TVA+,4/19/2020,4/20/2020,6/12/2020,6/26/2020,6/29/2020,yes,no,"Paralyzed + disfigurement from tumors on face. had tumor growing outside the skull (small), and large white mass found underneath brain. ",,,7/6/2020,no,no glioma observable,yes,yes,,,,,,,71,1,1,0,1,1,1,,,,,,,,,1,,,,
,23522-03 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/22/2020,4/23/2020,,6/29/2020,6/29/2020,yes,no,Completely paralyzed within a day,,,7/6/2020,no,no glioma observable,yes,no,,,,,,,68,1,0,0,,,,,,,,,,,,1,,,,
,23523-01 (wh),NF-1 Project,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,,RCAS Cre-U6sgRNA-ex2-NF1,Rick,5x105,5uL,Female,TVA+,4/22/2020,4/23/2020,,6/19/2020,6/19/2020,yes,no,complete paralysis,,,6/22/2020,no,"no glioma observable, but Sheri thinks there is possible leptomeningeal",yes,no,,negative,,negative,,2,58,1,0,0,,,,,,,,,,,,1,,,,
