Mouse Number,Strain,Virus,Tyr-Cre Status,Gender,DOB,Injection Date,Tumor Noticed,Behavior Noticed,Death Date,End Date,MRI Imaging Date,Age of Tumor Onset,Age of Behavior Onset,Age at Death,Tumor Locations,Tumor Grade (Post-H&E),Notes,
29820-01,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,3/23/2022,3/24/22 (RE),,5/9/2022,,8/20/2022,7/21/2022,,47,,,,,
29821-03,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,3/23/2022,3/24/22 (RE),,,,8/20/2022,7/21/2022,,,,,,,
29822-10,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,3/23/2022,3/24/22 (RE),,5/9/2022,,8/20/2022,7/21/2022,,47,,,,,
29824-11,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,3/23/2022,3/24/22 (RE),,5/8/2022,5/13/2022,8/20/2022,7/21/2022,,46,,,,,
29409-10,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,2/10/2022,2/10/2022 (RE),,3/29/2022,4/4/2022,,,,47,53,brain,Grade II Infiltrating Astrocytoma,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead.",
29387-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2/9/2022,2/10/2022 (RE),3/29/2022,,4/5/2022,,,48,,55,brain,Infiltrating Astrocytoma,"small bump on the head noticed 3/29/22. head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation",
30212-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,5/9/2022,5/10/2022,,,,10/6/2022,9/6/2022,,,152,,,,
30213-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/9/2022,5/10/2022,,,,10/6/2022,9/6/2022,,,152,,,,
30214-01,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/9/2022,5/10/2022,,,,10/6/2022,9/6/2022,,,152,,,,
30215-03,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/9/2022,5/10/2022,,,,10/6/2022,9/6/2022,,,152,,,,
30216-10,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/9/2022,5/10/2022,,,,10/6/2022,9/6/2022,,,152,,,,
30217-11,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/9/2022,5/10/2022,,,,10/6/2022,9/6/2022,,,152,,,,
30218-30,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/9/2022,5/10/2022,,,,10/6/2022,9/6/2022,,,152,,,,
30232-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,5/10/2022,5/11/2022,,,,10/7/2022,9/7/2022,,,152,,,,
30233-01,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,5/10/2022,5/11/2022,,,,10/7/2022,9/7/2022,,,152,,,,
30234-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/10/2022,5/11/2022,,,,10/7/2022,9/7/2022,,,152,,,,
30235-01,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/10/2022,5/11/2022,,,,10/7/2022,9/7/2022,,,152,,,,
30236-10,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/10/2022,5/11/2022,,,,10/7/2022,9/7/2022,,,152,,,,
30237-11,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,5/10/2022,5/11/2022,,,,10/7/2022,9/7/2022,,,152,,,,
29407-00,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/+,M,2/10/2022,2/10/2022 (RE),,3/29/2022,4/2/2022,,,,47,51,,,"ruffle fur noticed, but no obs. Tumor. found dead",
29410-11,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,2/10/2022,2/10/2022 (RE),,3/29/2022,4/3/2022,,,,47,52,,,"ruffle fur noticed, but no obs. Tumor. found dead",
29408-01,N-TVA::H11LSL-Cas9;Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,2/10/2022,2/10/2022 (RE),,3/29/2022,4/3/2022,,,,47,52,,,"ruffle fur noticed, but no obs. Tumor. found dead",
Cohort Averages,N=27,,,,,,,,,,,48,48.75,124.05,,,,
Median,,,,,,,,,,,,,47,152,,,,
"Data taken from Rick's Excel -- Included all samples before Jan. 2021, injected by Rick with 5uL.",,,,,,,,,,,,,,,,,,
26007-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,F,1/20/2021,1/22/2021 (RH),,4/13/2021,4/13/2021,,,,83,83,spinal cord,,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)",
26009-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,F,1/20/2021,1/22/2021 (RH),3/15/2021,,3/30/2021,,,54,,69,Gliosarcoma?,,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.",
26010-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,F,1/20/2021,1/22/2021 (RH),,4/13/2021,4/13/2021,,,,83,83,spinal cord,,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)",
26011-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,M,1/20/2021,1/22/2021 (RH),3/15/2021,,3/26/2021,,,54,,65,Gliosarcoma?,,"froze part of head tumor, trypsinized part for cell line, and FFPE it. Brain itself also FFPE. Found a tiny white mass between the tumor and brain, that sort of indented the top left of the brain and defored the skull, unsure if it was attached to the main tumor or how the skull was involved since I had to cut open the skull to retreive the brain.",
26012-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,Tg/Tg,M,1/20/2021,1/22/2021 (RH),,4/30/2021,4/30/2021,,,,100,100,Glioma,,"partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal",
26014-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,M,1/20/2021,1/22/2021 (RH),,4/12/2021,4/12/2021,,,,82,82,spinal cord/gliosarcoma?,,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.",
26037-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,F,1/24/2021,1/26/2021 (RH),3/18/2021,,4/1/2021,,,53,,67,Gliosarcoma?,,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.",
26274-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,F,2/19/2021,2/21/2021 (RH),5/26/2021,,5/26/2021,,,96,,96,spine tumor/Gliosarcoma?,,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen",
26276-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,F,2/19/2021,2/21/2021 (RH),5/10/2021,5/10/2021,5/17/2021,,,80,80,87,"spine tumor/gliosarcoma, nerve", ,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.",
26279-11,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,F,2/19/2021,2/21/2021 (RH),4/13/2021,,4/13/2021,,,53,,53,Gliosarcoma?,,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.",
26280-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,M,2/19/2021,2/21/2021 (RH),,5/5/2021,5/5/2021,,,,75,75,Optic Nerve?,,"mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with",
26281-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2, ,M,2/19/2021,2/21/2021 (RH),,5/19/2021,5/19/2021,,,,89,89,Optic Nerve?,,"partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy",
28200-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,10/12/2021,10/14/2021 (RH),1/20/2022,,1/30/2022,,,100,,110,Ganglioneuroma,,"intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal ",
28202-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,10/12/2021,10/14/2021 (RH),12/20/2021,,12/27/2021,,,69,,76,Optic Nerve?,,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal. ",
28203-11,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,10/12/2021,10/14/2021 (RH),,,1/3/2022,,,70,,83,Gliosarcoma?,,"Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs",
28204-00,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,10/12/2021,10/14/2021 (RH),12/21/2021,,1/3/2022,,,,,83,"Pre-tumorigenic, Optic Nerve?",,"Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver",
28205-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,10/12/2021,10/14/2021 (RH),,1/3/2022,1/3/2022,,,,83,83,Pre-tumorigenic,,"Complete lower paralysis, swollen cheeks, large hump on the back, thin skull, possible blood clot on the liver",
28207-10,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,10/12/2021,10/14/2021 (RH),11/28/2021,,12/15/2021,,,47,,64,Angiosarcoma?,,"Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal  ",
28208-11,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,10/12/2021,10/14/2021 (RH),12/4/2021,,12/22/2021,,,53,,71,"Glioblastoma, Gliosarcoma?",," extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",
28206-03,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,M,10/12/2021,10/14/2021 (RH),12/20/2021,,1/3/2022,,,,,,,,found dead with swollen head.,
28201-01,N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,+/+,F,10/12/2021,10/14/2021 (RH),12/16/2021,,12/27/2021,,,,,,,,"found dead, tumor over left eye.",
Cohort Averages,N=19,,,,,,,,,,,66.27272727,84.375,79.94736842,,,,
Median,,,,,,,,,,,,54,83,83,,,,
"Data taken from Rick's Excel -- Included all samples before Jan. 2021, injected by Rick with 5uL.",,,,,,,,,,,,,,,,,,
28525-00,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,11/11/2021,11/13/2021,,12/28/2021,12/28/2021,,,,47,47,intracranial,,"Probable intracranial tumor; sacked for left side paralysis and trouble breathing. Frontal lobe was caved in (from tumor)? Unable to isolate tumor separately so took entire brain, as well as lungs, liver. ",
28526-01,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,11/11/2021,11/13/2021,3/1/2022,,3/7/2022,,,110,,116,"brain, optic nerve",,"Swollen brain, blood in the skull prior to skull incision, large tumor under brain attached to optic nerve. Bulging eyeball",
28527-03,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,11/11/2021,11/13/2021,1/6/2022,,1/20/2022,,,56,,70,extracranial,,"Large head tumor, skull was friable but there was no evidence of invasion into the brain from the head tumor",
28528-10,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,11/11/2021,11/13/2021,3/10/2022,,3/23/2022,,,119,,132,brain,,"Swollen brain, watery and soft. Lungs and liver looked healthy.",
28529-11,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,11/11/2021,11/13/2021,2/23/2022,2/23/2022,2/28/2022,,,104,104,109,"brain, extracranial",,"Swollen brain, blood in the skull prior to skull incision. Glioma, tumor was so large that there was a change of shape to the skull, and paralysis present",
28530-00,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,11/11/2021,11/13/2021,,1/4/2022,2/15/2022,,,,54,96,brain,,"Glioma, no tumor visible but paralysis present. Swollen brain, blood in the skull prior to skull incision",
28531-01,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,11/11/2021,11/13/2021,,1/25/2022,2/15/2022,,,,75,96,brain,,"Swollen brain, blood in the skull prior to skull incision. Brain was incredibly soft, difficult to remove",
28532-03,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,11/11/2021,11/13/2021,,1/4/2022,1/13/2022,,,,54,63,brain,,"no obs. Tumor, paralyzed",
26305-00,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,2/21/2021,2/21/2021,,5/10/2021,5/10/2021,,,,78,78,nerve tumor,,"mouse was hunched over, not moving much, and looked emanciated/sick, upon necropsy there was a large tumor under the brain that was not attached to the brain, but it was difficult to remove from the bottom of the cranial cavity, this is possibly growing from the left cranial nerve",
26306-00,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,2/21/2021,2/21/2021,,6/9/2021,6/16/2021,,,,108,115,nerve tumor,,"starting to drag hind legs on 6/9/21, on 6/16 mouse was breathing heavy and looked scruffy, sacked in order to not find dead, enlarged cranial nerve on right side with a mass around it was used to make a cell line with",
26307-01,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,2/21/2021,2/21/2021,4/13/2021,,4/13/2021,,,51,,51,extracranial,,"mouse was sort of small and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",
26308-03,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,2/21/2021,2/21/2021,,5/19/2021,5/19/2021,,,,87,87,no obs,,"partially paralyzed in hind legs, everything else looked normal",
26309-10,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,2/21/2021,2/21/2021,,4/30/2021,4/30/2021,,,,68,68,no obs,,"loosing mobility in hind legs, could probably have survived longer, but didn't want to risk finding it dead after the weekend, everything appears normal after necropsy.",
26310-30,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,2/21/2021,2/21/2021,4/13/2021,,4/13/2021,,,51,,51,extracranial,,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",
26311-11,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,M,2/21/2021,2/21/2021,4/13/2021,,4/13/2021,,,51,,51,extracranial,,"mouse was small and a little emanciated or underdeveloped, and had a small tumor on head. Knowing what happens to older mice, as the tumor just gets bigger and it will be harder to remove brain, this mouse could have lived longer though, froze part of tumor, fixed part of tumor and made cell line from part of tumor, tumor first noticed within 5 days of 4/13, but exact date wasn't recorded",
26022-00,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,,F,1/20/2021,1/22/2021,3/15/2021,,4/1/2021,,,54,,71,extracranial,,"mouse seamed healthy, but head tumor was becoming larger than 2cm in diameter. There was a small ball of tissue in front of the brain, so not sure if it will be included in the slide, but unsure what it is.",
