"mouse_num","tumor_id","patho_est_location","patho_tumor_grade","patho_notes","requests","tumor","mouse_tumor","necropsy_file_comments","strain","virus","tyr_cre_status","gender","dob","injection_date","tumor_noticed","behavior_noticed","death_date","end_date","mri_imaging_date","age_of_tumor_onset","age_of_behavior_onset","age_at_death","tumor_locations","tumor_grade_post_h_e","notes","injected_by","mouse_num_tag","mouse_tag","age_death_cap","src","necropsy_comments"
28208,"28208 T2","Kidney","Infiltrating Glioblastoma and possible gliosarcoma","High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP","T2","28208 T2","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-12-04,NA,2021-12-22,2021-12-22,NA,53,NA,71,"Glioblastoma, Gliosarcoma?",NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","RH","28208-11","11",69,"RE","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)"
28208,"28208 T3","Brain","Infiltrating Glioblastoma and possible gliosarcoma","High grade spindle cell neoplasm, possible gliosarcoma (*fasculature growth will be GFAP -*). Infiltrating glioma found near the hippocampus. Palisading necrosis within the ventricle. T2 is the testus. T3 is the lower intestine.","S100, GFAP","T3","28208 T3","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-12-04,NA,2021-12-22,2021-12-22,NA,53,NA,71,"Glioblastoma, Gliosarcoma?",NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)","RH","28208-11","11",69,"RE","extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)"
26014,"26014 T1","Spinal Cord","Possible gliosarcoma","Lots of mitotically active neoplasm invading into the skeletal muscle. PTEN lost in most tumor cells, but not all. Possible gliosarcoma","S100, GFAP, redo ki67","T1","26014 T1","severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-01-20,2021-01-22,NA,2021-04-12,2021-04-12,2021-04-12,NA,NA,82,82,"spinal cord/gliosarcoma?",NA,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.","RH","26014-10","10",80,"RE","severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord"
26037,"26037 T1","Extracranial","High Grade","Appears mildly glial in origin, another possible gliosarcoma. Infiltrating the skeletal muscle. Lots of mitotic activity. Fibrillary background.","S100, GFAP","T1","26037 T1","mouse appears normal except for large head tumor.","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-24,2021-01-26,2021-03-18,NA,2021-04-01,2021-04-01,NA,53,NA,67,"Gliosarcoma?",NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.","RH","26037-00","00",65,"RE","mouse appears normal except for large head tumor."
26276,"26276 T1","Spinal Cord","Gliosarcoma?","Glial and fascicular tumor infiltrating into the fat, skeletal muscle, and a lymph node. PTEN lost in a subset of tumor cells.","S100, GFAP","T1","26276 T1","tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-19,2021-02-21,2021-05-10,2021-05-10,2021-05-17,2021-05-17,NA,80,80,87,"spine tumor/gliosarcoma, nerve",NA,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","RH","26276-03","03",85,"RE","tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1."
26274,"26274 T1","Spinal Cord","High Grade","Invading into the skeletal muscle. Glial in origin, with lots of mitotic activity. Focal fascicular growth present.","S100, GFAP","T1","26274 T1","tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-19,2021-02-21,2021-05-26,NA,2021-05-26,2021-05-26,NA,96,NA,96,"spine tumor/Gliosarcoma?",NA,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen","RH","26274-00","00",94,"RE","tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen"
28207,"28207 T1","Extracranial","Angiosarcoma?","Tumor is eating its way into the scalp. Fascicular. Possible sarcoma or angiosarcoma.","S100, GFAP","T1","28207 T1","Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","M",2021-10-12,2021-10-14,2021-11-28,NA,2021-12-15,2021-12-15,NA,47,NA,64,"Angiosarcoma?",NA,"Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal","RH","28207-10","10",62,"RE","Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal"
28203,"28203 T1","Extracranial","Gliosarcoma?","Tumor appears glial in origin. Possible gliosarcoma.","S100, GFAP","T1","28203 T1","Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","+/+","F",2021-10-12,2021-10-14,NA,NA,2022-01-03,2022-01-03,NA,70,NA,83,"Gliosarcoma?",NA,"Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs","RH","28203-11","11",81,"RE","Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs"
26007,"26007 B","Brain","NED","NED",NA,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RE",NA
24801,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24801-00","00",151,"RE",NA
24802,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24802-01","01",151,"RE",NA
24803,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24803-03","03",151,"RE",NA
24805,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24805-00","00",151,"RE",NA
24807,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-09-22,2020-09-22,NA,NA,2021-03-05,2021-03-05,NA,NA,NA,164,NA,NA,"No tumor. Sac'd for end date.",NA,"24807-03","03",151,"RE",NA
25080,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25080-00","00",151,"RE",NA
25081,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25081-01","01",151,"RE",NA
25082,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25082-03","03",151,"RE",NA
25083,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25083-00","00",151,"RE",NA
25084,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25084-01","01",151,"RE",NA
25085,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25085-03","03",151,"RE",NA
25086,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25086-10","10",151,"RE",NA
25087,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25087-00","00",151,"RE",NA
25088,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25088-01","01",151,"RE",NA
25089,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25089-03","03",151,"RE",NA
25090,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25090-00","00",151,"RE",NA
25091,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25091-01","01",151,"RE",NA
25092,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25092-03","03",151,"RE",NA
25214,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25214-00","00",151,"RE",NA
25215,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25215-01","01",151,"RE",NA
25216,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25216-03","03",151,"RE",NA
25218,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25218-00","00",151,"RE",NA
25220,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25220-03","03",151,"RE",NA
25221,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25221-10","10",151,"RE",NA
25238,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,2021-02-03,NA,2021-03-03,2021-03-03,NA,89,NA,117,NA,NA,"extracranial tumor, no glioma",NA,"25238-01","01",151,"RE",NA
25239,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25239-03","03",151,"RE",NA
25240,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25240-00","00",151,"RE",NA
25241,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25241-01","01",151,"RE",NA
25242,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25242-03","03",151,"RE",NA
25258,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25258-10","10",151,"RE",NA
25259,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25259-11","11",151,"RE",NA
25261,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25261-01","01",151,"RE",NA
25262,NA,NA,NA,NA,NA,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25262-03","03",151,"RE",NA
