"","mouse_num","had_tumor","patho_notes","patho_tumor_grade","tumor_grade_post_h_e","notes","necropsy_comments","necropsy_behavior_comments","brain_h_e_and_ihc_notes"
"95",23463,1,NA,NA,NA,NA,NA,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull. Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.","whole head sectioned with head tumor"
"96",23464,1,NA,NA,NA,NA,NA,"Paralyzed with small tumor growing above eye, brain looked nromal","no glioma observable"
"97",23465,1,NA,NA,NA,NA,NA,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull. Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.","whole head sectioned with head tumor"
"98",23466,1,NA,NA,NA,NA,NA,"Lack of grooming, difficulty breathing, looked weak and sickly. Brain looked gray and pale but otherwise normal","no glioma observable"
"99",23467,1,NA,NA,NA,NA,NA,"Domed head, weak and sickly, difficulty breathing. Very large tumor underneath brain emanating from left optic cranial nerve","big tumor on slide outside of brain, grade 2-3"
"100",23469,1,NA,NA,NA,NA,NA,"Slightly enlarged cranial nerves but brain looked normal, mouse was paralyzed","no glioma observable"
"101",23470,1,NA,NA,NA,NA,NA,"Paralyzed + disfigurement from tumors on face. had tumor growing outside the skull (small), and large white mass found underneath brain.","no glioma observable"
"102",23524,1,NA,NA,NA,NA,NA,"Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.","originally thought there might be a leptomeningeal tumor, but not able to verify by second H&E, Ki67 or pERK"
"103",23525,1,NA,NA,NA,NA,NA,"Tumor present on side of body weird fatty skin growth. Tumor was used for cell line, frozen, and fixed. Brain looked normal","no glioma observable"
"104",23526,1,NA,NA,NA,NA,NA,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal","originally thought there might be a glioma, but nothing seen in second H&E or Ki67"
"105",23527,1,NA,NA,NA,NA,NA,"Complete paralysis. Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve","low grade glioma in center section towards the side, Ki67 and pERK are not that distinct, but they are positive, PTEN looks less positive in tumor except for positive staining vasculature"
"106",23528,1,NA,NA,NA,NA,NA,"sickly, difficulty breathing, slight domed head, tumor on skull","no glioma observable"
"107",23785,1,NA,NA,NA,NA,NA,"Difficulty breathing, medium sized cranial nerve tumor (necrotic)","large glioma at base of brain on front and center sections, Ki67 is positive throughout the tumor except for some center areas, pERK is fairly dispursed throughout tumor, PTEN has some odd artifacts, but not that different than the rest of the brain except it does look lower than the brain for the front section"
"108",23786,1,NA,NA,NA,NA,NA,"Completely paralyzed. Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well","large high grade glioma at the base of brain in the center and back sections, palisading necrosis and abnormal vasculature, Ki67 is high throughout except for a distinct shape at the center of the tumor (lymphocytes?) and the necrotic areas, pERK is more expressed towards the bottom edges and absent in that lymphocyte region, PTEN is clearly low in tumor except for vasculature and the lymphocyte region"
"109",23787,1,NA,NA,NA,NA,NA,"Completely paralyzed, Small necrotic tumor underneath brain surrounding left cranial nerves","tumor tissue was thought to be on the side, but not seen in the second H&E and no Ki67 observed"
"110",23788,NA,NA,NA,NA,NA,NA,"found dead and unable to necropsy",NA
"111",23790,1,NA,NA,NA,NA,NA,"large head growth, difficulty breathing, brain looked normal if a little small.","no glioma observable"
"112",23791,1,NA,NA,NA,NA,NA,"domed head, weak/paralyzed body, difficulty breathing. tumor underneath brain surrounding cranial nerves, very soft necrotic tissue surrounding brain","tumor under brain, high grade"
"113",23792,1,NA,NA,NA,NA,NA,"difficulty breathing, small cranial nerve tumor","low grade glioma in the center cection of the cerebral cortex, ki67 is slightly higher there, pERK is negative, PTEN is still expressed"
"114",23822,1,NA,NA,NA,NA,NA,"slight domed head filled with liquid, small necrotic cranil nerve tumor, paralyzed","no glioma observable"
"115",23823,1,NA,NA,NA,NA,NA,"Slight domed head and complete paralysis","glioma is mostly exterior to the brain, but there is also a bit on the bottom of the center section, one section has more Ki67 than another, pERK is more positive on the bit still connected to the brain and not so positive on the exterior tumor, PTEN looks lower for the connected bit, but PTEN has some odd staining artifacts"
"116",23824,1,NA,NA,NA,NA,NA,"Growth on head and tumor on eye noted","no glioma observable"
"117",23826,1,NA,NA,NA,NA,NA,"weak/paralyzed body, difficulty breathing.Tumor surrounding left posterior cranial nerve","tumor tissue visible under brain"
"118",23828,1,NA,NA,NA,NA,NA,"Mouse stopped grooming and began acting sickly, large tumor developed on side of it's body and appeared to originate from rib tissue?","no glioma observable"
"119",23866,1,NA,NA,NA,NA,NA,"Mouse was weak and sickly with domed head, necropsy showed necrotic tumor enveloping cranial nerves underneath brain.","high grade glioma on base of center section with vasculature and some form of rosette patterns, evenly high Ki67 positivity and pERK, PTEN is lower than in the normal brain section and mostly just stained blood vessels"
"120",23965,1,NA,NA,NA,NA,NA,"Mouse was paralyzed, brain looked normal, necropsy showed tumor surroundign spine at base of spine.","no glioma observable"
"121",23966,1,NA,NA,NA,NA,NA,"Brain, tumor underneath brain as well as shoulder tumor. Brain tumor and shoulder tumor used to create cell lines. Frozen sample of nerve tumor as well. Sacked because ms became very sickly","some tumor can be seen on the edge, tumor is Ki67+"
"122",23967,1,NA,NA,NA,NA,NA,"Very large tumor encasing half of spine, all of the hips and at base of tail. Head tumor as well, and necrotic tissue underneath brain. Sick and was sacked","there is tumor tissue under the brain, tumor ios Ki67+"
"123",23970,1,NA,NA,NA,NA,NA,"Very large tumor growing over skull, mouse became sickly and was sacked. Brain appeared normal","no glioma observable"
"124",24806,NA,NA,NA,NA,NA,NA,"Fighting so sacked not worth keeping alone",NA
"125",24988,1,NA,NA,NA,NA,NA,"Brain slightly large, necrotic tissue/tumor underneath brain and in cavity. No cell line started, most scooped out with brain.Very disteneded abdomen was due to all digestive organs being maximally filled with gas including stomach.","looks like there are pieces of tumor in the slide, but disconnected from the brain"
"126",24989,1,NA,NA,NA,NA,NA,"Large head tumor brain appeared normal. Tumor samples, frozen, H&E and cell line made","no glioma observable, head tumor is there"
"127",25025,1,NA,NA,NA,NA,NA,"domerd head noticed 1/21/20, became lethargic on 1/27, head is domed and back is hunched, fixed entire brain, brain stem and spinal cord looked enlarged, but not a clear tumor to split three ways, just trypsinized the brainstem/spinal cord for a cell line","large high grade glioma present, Ki67+"
"128",25026,1,NA,NA,NA,NA,NA,"Large tumor growing on head, samples collected freezing, cell line, and H&E","entire head was sectioned, no glioma observed, but head tumor is there"
"129",25027,1,NA,NA,NA,NA,NA,"Large tumor growing on head, samples collected freezing, cell line, and H&E","entire head was sectioned, no glioma observed, but head tumor is there"
"130",25029,1,NA,NA,NA,NA,NA,"Animal sacked due to large tumor growing on head and eventually covering eye. Tumor harvested for freezing and cell line","entire head was sectioned, no glioma observed, but head tumor is there"
"131",25031,1,NA,NA,NA,NA,NA,"No Tumor noted, swelling of head was due to extreme distension of brain from liquid filling th enetire cortex. Brain was completely hollow except for mid and hindbrain. Collected for H&E.","no glioma observable, but tissue was all tore up due to hydrocephalus"
"132",25034,1,NA,NA,NA,NA,NA,"Animal was paralyzed and therefore sacked, brain appaeared normal, slight tumor growth on outside of skull, impossible to separate from bone.","no glioma observable"
"133",25217,NA,NA,NA,NA,NA,NA,"I assume this was too far dead to harvest anything",NA
"134",25219,NA,NA,NA,NA,NA,NA,"Found dead with scabs on tail. Brain was too decomposed to harvest",NA
"135",25238,1,NA,NA,NA,NA,NA,"Large tumor growing on head, cell line started and tissue frozen as well as formalin fixed. Slides would be good NF1 tumor control. Tissue was decalcified prior to embedding.","no glioma observable, but the head tumor is there"
"136",25260,1,NA,NA,NA,NA,NA,"Brain was completely hollow and swelled full of thick clear liquid and blood. No sign of tumor","no glioma observable, but tissue was all tore up due to hydrocephalus"
"137",25270,NA,NA,NA,NA,NA,NA,"found dead, no necropsy file found, so I think this was too decomposed to harvest anything.",NA
"138",25327,NA,NA,NA,NA,NA,NA,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",NA
"139",25329,NA,NA,NA,NA,NA,NA,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",NA
"140",25330,NA,NA,NA,NA,NA,NA,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",NA
"141",25331,NA,NA,NA,NA,NA,NA,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",NA
"142",25332,NA,NA,NA,NA,NA,NA,"found dead while still very young, I don't think this has anything to do with tumors and should be excluded",NA
"143",25499,NA,NA,NA,NA,NA,NA,"found dead",NA
"144",25500,NA,NA,NA,NA,NA,NA,"found dead",NA
"145",25501,1,NA,NA,NA,NA,NA,"tumor was just above left eye and was becoming red, as if it was ulcering or becoming irritated. Upon necropsy, tumor was observed to be connected to the skin and not the skull. It may be connected to the audible nerve as part of the tumor seamed to be very close to the ear and was fixed with part of the ear. A peice of tumor was frozen and also used for a cell line.","no glioma observable"
"146",25502,NA,NA,NA,NA,NA,NA,"found dead",NA
"147",25503,1,NA,NA,NA,NA,NA,"Brain was abnormally large and swollen but no clear sign of tumor tissue found. Mouse was sacked for extreme sickness (hunched back, skinny, barely moving - not paralyzed-)","neurons are visible within the tumor, suggesting this is a PNST, not infiltrating, looks leptomeningeal, Ki67 positive, pERK low"
"148",25504,1,NA,NA,NA,NA,NA,"Large head tumor growing over skull. normal brain, small growth found on spine (T2), head tumor T1.  tumor frozen, cell line formed (t1) and rest formalin fixed","no glioma observable"
"149",25598,1,NA,NA,NA,NA,NA,"Brain was completely hollow and swelled full of thick clear liquid and blood. No sign of tumor","no glioma observable, but tissue was all tore up due to hydrocephalus"
"150",25688,1,NA,NA,NA,NA,NA,"tumor on top of head first observed on 5/19/21, sacked 5/20/21 for experimental endpoint, everything else looks normal upon necropsy, froze part of head tumor and made cell line with it.","no glioma observable"
"151",25690,1,NA,NA,NA,NA,NA,"mouse is showing signs of partial paralysis on 4/7. Head is tilted to one side, but still able to move around. Could have gone longer, but no sense risking mouse dying on own. Necropsy showed bulge in left top of skull, under the left side of brain looked to be a glioma, attached a little to the base of the cranial cavity and partially attached to the brain, sort of mushy, cut some off to freeze and make cell line from as well as fixed the rest with the brain","high grade glioma on center and back sections, possibly left side of mouse, Ki67 positivity extends into the brain, pERK slide was scrapped off a bit, but primarily positive along the edge and not extending into the brain, PTEN is lower in the tumor not extending into the brain and darker on side edge"
"152",25692,1,NA,NA,NA,NA,NA,"passed Friday health check, but found dead on Mon. After necropsy, a tumor was visable around right ear (T1) connected to the skull and separate from the skin. A second tumor is seen lower on the neck (T2) it is smaller. Tumors were fixed, brain was fixed too but mushy since this mouse was found dead.","looks like a tumor is partially attached to the brain"
"153",25693,1,NA,NA,NA,NA,NA,"rear legs appeared to be partially paralyzed, so it had to be euthanized since it would starve/dehydrate. No sign of tumor along spinal cord, but a cranial nerve looked enlarged, unfortunatly it was not fixed.","no glioma observable"
"154",25694,1,NA,NA,NA,NA,NA,"mouse was loosing mobility in hind legs and I didn't want to chance it over the weekend. I noticed a mass of tissue under the brain, not sure if it was an enlarged cranial nerve or that ""necrotic"" tissue Zia noticed before. Growing that tissue as a cell line, but too small for fixing it or freezing it as well","glioma is at the base of the brain in the center section as well as in the center of the brain near the split, Ki67 and pERK are slightly more prevelant in tumor areas, PTEN doesn't look any different than normal tissue"
"155",25695,1,NA,NA,NA,NA,NA,"found dead on a Monday, so could have died earlier, tumor found just off the lower spine above the tail","no glioma observable"
