"mouse_num","tumor","mouse_tumor","necropsy_file_comments","strain","virus","tyr_cre_status","gender","dob","injection_date","tumor_noticed","behavior_noticed","death_date","end_date","mri_imaging_date","age_of_tumor_onset","age_of_behavior_onset","age_at_death","tumor_locations","tumor_grade_post_h_e","notes","injected_by","mouse_num_tag","mouse_tag","age_death_cap"
25085,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25085-03","03",151
25086,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-10-19,2020-10-19,NA,NA,2021-03-18,2021-03-18,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25086-10","10",151
25087,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25087-00","00",151
25088,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25088-01","01",151
25089,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25089-03","03",151
25090,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25090-00","00",151
25091,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25091-01","01",151
25092,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-10-20,2020-10-20,NA,NA,2021-03-19,2021-03-19,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25092-03","03",151
25214,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25214-00","00",151
25215,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25215-01","01",151
25216,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25216-03","03",151
25218,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25218-00","00",151
25220,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25220-03","03",151
25221,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-05,2020-11-05,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,151,NA,NA,"No tumor. Sac'd for end date.",NA,"25221-10","10",151
25238,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,2021-02-03,NA,2021-03-03,2021-03-03,NA,89,NA,117,NA,NA,"extracranial tumor, no glioma",NA,"25238-01","01",151
25239,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25239-03","03",151
25240,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25240-00","00",151
25241,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25241-01","01",151
25242,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-06,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25242-03","03",151
25258,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25258-10","10",151
25259,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25259-11","11",151
25261,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25261-01","01",151
25262,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25262-03","03",151
25263,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25263-10","10",151
25264,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-06,2020-11-09,NA,NA,2021-04-05,2021-04-05,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25264-30","30",151
25266,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25266-01","01",151
25267,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25267-03","03",151
25268,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25268-10","10",151
25269,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25269-30","30",151
25271,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25271-00","00",151
25272,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25272-01","01",151
25274,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-07,2020-11-09,NA,NA,2021-04-06,2021-04-06,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25274-10","10",151
25304,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25304-00","00",151
25305,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25305-01","01",151
25307,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25307-01","01",151
25308,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25308-03","03",151
25309,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25309-10","10",151
25310,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre",NA,NA,2020-11-10,2020-11-11,NA,NA,2021-04-09,2021-04-09,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25310-30","30",151
25328,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-11-13,2020-11-13,NA,NA,2021-04-12,2021-04-12,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25328-01","01",151
25548,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-04,2020-12-04,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,157,NA,NA,"No tumor. Sac'd for end date.",NA,"25548-00","00",151
25549,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-04,2020-12-04,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,157,NA,NA,"No tumor. Sac'd for end date.",NA,"25549-01","01",151
25550,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-04,2020-12-04,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,157,NA,NA,"No tumor. Sac'd for end date.",NA,"25550-00","00",151
25595,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-09,2020-12-10,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,152,NA,NA,"No tumor. Sac'd for end date.",NA,"25595-00","00",151
25596,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-09,2020-12-10,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,152,NA,NA,"No tumor. Sac'd for end date.",NA,"25596-01","01",151
25597,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-09,2020-12-10,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,152,NA,NA,"No tumor. Sac'd for end date.",NA,"25597-00","00",151
25598,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-09,2020-12-10,NA,NA,2021-05-10,2021-05-10,NA,NA,NA,152,NA,NA,"No tumor. Sac'd for end date.",NA,"25598-01","01",151
25782,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25782-00","00",151
25783,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25783-01","01",151
25784,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25784-00","00",151
25785,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25785-01","01",151
25787,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25787-10","10",151
25788,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f; Atrxf/f","RCAS-Cre",NA,NA,2020-12-29,2020-12-29,NA,NA,2021-05-28,2021-05-28,NA,NA,NA,150,NA,NA,"No tumor. Sac'd for end date.",NA,"25788-03","03",151
26007,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-20,2021-01-22,NA,2021-04-13,2021-04-13,2021-04-13,NA,NA,83,83,"spinal cord",NA,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","RH","26007-00","00",81
26009,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-20,2021-01-22,2021-03-15,NA,2021-03-30,2021-03-30,NA,54,NA,69,"Gliosarcoma?",NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.","RH","26009-03","03",67
26010,"T1","26010 T1","nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-20,2021-01-22,NA,2021-04-13,2021-04-13,2021-04-13,NA,NA,83,83,"spinal cord",NA,"nothing noticed around brain, but mouse was partially paralized in hind legs and had a spinal cord tumor around the base of the spine, cut some tumor to freeze and grow cell line from, also fixed section of tumor and spine (will need to decalcify if submitting for histology)","RH","26010-10","10",81
26011,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-01-20,2021-01-22,2021-03-15,NA,2021-03-26,2021-03-26,NA,54,NA,65,"Gliosarcoma?",NA,"froze part of head tumor, trypsinized part for cell line, and FFPE it. Brain itself also FFPE. Found a tiny white mass between the tumor and brain, that sort of indented the top left of the brain and defored the skull, unsure if it was attached to the main tumor or how the skull was involved since I had to cut open the skull to retreive the brain.","RH","26011-00","00",63
26012,"B","26012 B","partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2","Tg/Tg","M",2021-01-20,2021-01-22,NA,2021-04-30,2021-04-30,2021-04-30,NA,NA,100,100,"Glioma",NA,"partially paralyzed in hind legs, brain might have looked a little big, but otherwise everything looked normal","RH","26012-01","01",98
26014,"T1","26014 T1","severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-01-20,2021-01-22,NA,2021-04-12,2021-04-12,2021-04-12,NA,NA,82,82,"spinal cord/gliosarcoma?",NA,"severly paralized to where it looks like it couldn't control bowel movements or urination, noticed on a Monday, but looked fine when it was last looked at on a Friday. Upon necropsy, brain looks normal, huge tumor around the base of the spinal cord, some of the tumor was frozen, used to make a cell line, and fixed.","RH","26014-10","10",80
26022,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-20,2021-01-22,2021-03-15,NA,2021-04-01,2021-04-01,NA,54,NA,71,"extracranial",NA,"mouse seamed healthy, but head tumor was becoming larger than 2cm in diameter. There was a small ball of tissue in front of the brain, so not sure if it will be included in the slide, but unsure what it is.",NA,"26022-00","00",69
26023,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-01-20,2021-01-22,2021-04-23,NA,2021-05-10,2021-05-10,NA,93,NA,110,"extracranial",NA,"bump on head noticed 4/23/21, sacked when it was big enough to harvest for a cell line, fix, and freeze",NA,"26023-00","00",108
26037,"T1","26037 T1","mouse appears normal except for large head tumor.","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-01-24,2021-01-26,2021-03-18,NA,2021-04-01,2021-04-01,NA,53,NA,67,"Gliosarcoma?",NA,"mouse appears normal except for large head tumor. Tumor also used for making cell line, and part of it was frozen.","RH","26037-00","00",65
26274,"T1","26274 T1","tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-19,2021-02-21,2021-05-26,NA,2021-05-26,2021-05-26,NA,96,NA,96,"spine tumor/Gliosarcoma?",NA,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen","RH","26274-00","00",94
26276,"T1","26276 T1","tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-19,2021-02-21,2021-05-10,2021-05-10,2021-05-17,2021-05-17,NA,80,80,87,"spine tumor/gliosarcoma, nerve",NA,"tumor observable on the base of spine (T1), mouse is showing partial paralysis in hind legs, also small head tumor developing (T2), froze and made cell lines of each tumor and fixed part of T1.","RH","26276-03","03",85
26279,NA,NA,NA,"N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-19,2021-02-21,2021-04-13,NA,2021-04-13,2021-04-13,NA,53,NA,53,"Gliosarcoma?",NA,"head tumor observed, so sacked before it got too big, made cell line with it, froze a piece and fixed it. Tumor was first observed within 5 days of 4/13, but exact date was not recorded.","RH","26279-11","11",51
26280,"B","26280 B","mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-19,2021-02-21,NA,2021-05-05,2021-05-05,2021-05-05,NA,NA,75,75,"Optic Nerve?",NA,"mouse was bloated and looks like it is full of gas, there was an enlarged cranial nerve that was just kept for making a cell line with","RH","26280-00","00",73
26281,"B","26281 B","partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy","N-TVA:: Pten f/f; H11LSL-Cas9; Ink4a/Arf f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-19,2021-02-21,NA,2021-05-19,2021-05-19,2021-05-19,NA,NA,89,89,"Optic Nerve?",NA,"partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy","RH","26281-01","01",87
26305,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"F",2021-02-21,2021-02-21,NA,2021-05-10,2021-05-10,2021-05-10,NA,NA,78,78,"nerve tumor",NA,"mouse was hunched over, not moving much, and looked emanciated/sick, upon necropsy there was a large tumor under the brain that was not attached to the brain, but it was difficult to remove from the bottom of the cranial cavity, this is possibly growing from the left cranial nerve",NA,"26305-00","00",78
26306,NA,NA,NA,"N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f","RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2",NA,"M",2021-02-21,2021-02-21,NA,2021-06-09,2021-06-16,2021-06-16,NA,NA,108,115,"nerve tumor",NA,"starting to drag hind legs on 6/9/21, on 6/16 mouse was breathing heavy and looked scruffy, sacked in order to not find dead, enlarged cranial nerve on right side with a mass around it was used to make a cell line with",NA,"26306-00","00",115
