tumor_bool,tumor_qual,mouse_num,disposition,date_tumor_reported,tissue_collected,formalin_fixed,parafin_block_number_s,comments
NA,Slightly enlarged cranial nerves but brain looked normal,23286,Completely paralyzed,43999,NA,Yes,HCI -20-23286-BR,NA_NA
3,Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on eye as well.,23287,"Large tumor growing through eye, eye burst open.",43999,NA,Yes,HCI -20-23287-BR,NA_NA
NA,Paralyzation and large growth coming out of head,23288,"Very large domed head, disfigurement, growth over eye and paralyzation of back legs.",43986,NA,Yes,HCI -20-23288-BR,NA_NA
NA,Animal was found paralyzed with inability to move any of its body from the front legs down.,23289,Paralyzed,43993,NA,Yes,HCI -20-23289-BR,NA_NA
NA,Slightly enlarged cranial nerves but brain looked normal,23290,Completely paralyzed,43999,NA,Yes,HCI -20-23290-BR,NA_NA
3,Blind and disfigured from tumors growing on head,23291,"Effectively blind, tumors on face and head completely swelled eyes shut.",44011,NA,Yes,HCI -20-23291-BR,NA_NA
NA,Brain looked perfectly normal,23292,Mouse was completely paralyzed,44068,NA,Yes,NA,NA_NA
NA,"Bottom of brain was completely mush, normal tissue present and underneath brain grey/white mush slightly attached to brain",23293,"Difficulty breathing, looked sick, slightly mishapen head.",43998,NA,Yes,HCI -20-23293-BR,NA_NA
1,Very large tumor growing out of bone on skull at location of injection. Enlarged cranial nerve on posterior right side of head.,23294,Very large tumor growing outside of skull + complete paralysis,44033,NA,Yes,HCI -20-23294-BR,NA_NA
NA,Brain slightly smaller than would be expected but otherwise normal,23295,3-4 Tumors on head larger than 2 cm,43998Slight domed head noticed,NA,Yes,NA,NA_NA
NA,brain looked normal if a little weird shaped.,23296,"complete paralysis, and extreme hunched back",43999,NA,Yes,HCI -20-23296-BR,NA_NA
NA,Evrything appeared normal,23821,TVA- Sacked as a control,N/A,NA,Yes,NA,NA_NA
NA,"Completely paralyzed, unable to void properly, brain looked normal.",23298,Completely paralyzed,44018,NA,Yes,HCI -20-23298-BR,NA_NA
3,"slight domed head with liquid, small necrotic tumor on cranial nerve.",23822,Completely paralyzed,44039,NA,Yes,NA,NA_NA
NA,Diffiulty moving and walking,23300,"Mouse could not move hind legs or front of body, difficulty walking",43994,NA,Yes,HCI -20-23300-BR,No domed head was noted_NA
NA,Brain and spinal cord looked normal. Cranial nerves on left posterior portion slightly enlarged.,23301,Paralyzed and difficulty breathing.,44020,NA,Yes,HCI -20-23301-BR,NA_NA
3,:arge white tumor underneath left parietal lobe,23397,complete paralysis + very hunched back,43990,NA,Yes,HCI -20-23397-BR,NA_NA
NA,Diffiulty moving and walking,23400,Mouse had difficulty moving and breathing,43971,NA,Yes,HCI -20-23400-BR,NA_NA
NA,Brain looked perfectly normal,23460,Prolapsed Uterus,N/A,NA,Yes,NA,NA_NA
NA,Animal was found paralyzed with inability to move any of its body from the front legs down.  Difficulty breathing,23461,Paralyzed,43993,NA,Yes,HCI -20-23461-BR,NA_NA
1,Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.,23463,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull.",43994,NA,Yes,HCI -20-23463-BR,NA_NA
3,Paralyzed with small tumor growing on face. No apparent tumor on skull brain looked normal.,23464,Paralyzed with small tumor growing on eye,43986,NA,Yes,HCI -20-23464-BR,NA_NA
1,Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.,23465,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull.",43994,NA,Yes,HCI -20-23465-BR,NA_NA
NA,Brain looked gray and pale but otherwise normal.,23466,"Lack of grooming, difficulty breathing, looked weak and sickly.",6/4/2020 (noticed animal looked sickly),NA,Yes,HCI -20-23466-BR,NA_NA
NA,hind legs were partially paralyzed,25693,NA,NA,NA,Brain,NA,"One cranial nerve looked enlarged. Not quite big enough to try to also freeze and make a cell line from, and lost it when changing from formalin to EtOH._NA"
1,Very large tumor underneath brain emanating from left optic cranial nerve,23467,"Domed head, weak and sickly, difficulty breathing",44020,NA,Yes,NA,NA_NA
NA,Brain looked perfectly normal,23468,Mouse was very sick difficulty breathing,44069,NA,Yes,NA,NA_NA
NA,"Slightly enlarged cranial nerves but brain looked normal, mouse was paralyzed",23469,paralyzed lower limbs,"7/15/2020, paralysis noted",spinal cord,Yes,HCI -20-23469-BR,HCI-20-23469-SpCo_NA
3,"Was paralyzed, had tumor growing outside the skull (small), and large white mass found underneath brain.",23470,Paralyzed + disfiguremnt from ttumors on face,43994,NA,Yes,HCI -20-23470-BR,NA_NA
NA,Completely paralyzed,23522,Completely paralyzed,44011,NA,Yes,HCI -20-23522-BR,NA_NA
NA,paralyzed,23523,Paralyzed,43993,NA,Yes,HCI -20-23523-BR,NA_NA
1,Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.,23524,Right eye is enlarged and could rupture,44020,"eye, spinal cord (not intact)",Yes,HCI -20-23524-BR,"HCI-20-23524-SpCo,HCI-20-23524-Ey_NA"
1,Tumor present on side of body weird fatty skin growth. Brain looked normal,23525,Bloody cutaneous tumro growing on side,44063,"Tumor and brain, tumor tissue frozen, cell line started, and formalin fixed",Yes,NA,NA_NA
1,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal",23526,Paralyzed with large tumor growing on skull,44011,NA,Yes,HCI -20-23526-BR,NA_NA
3,Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve,23527,Complete paralysis,43986Slight domed head noticed,NA,Yes,NA,NA_NA
3,"limited mobility noticed, later tumor noticed on back",25695,NA,44270,and lower back tumor,Brain and tumor,NA,Found dead on a Monday. No conditions noticed on Friday. Could have died over weekend._NA
3,"small tumor ontop of skull, brain looked normal",23528,"difficulty breathing, domed head, sick",44047,NA,Yes,NA,NA_NA
NA,"Brain was soft but most likely from being dead a little while, everything appeared normal",23783,Completely paralyzed? Animal was found dead but had weakness in legs beforehand,44050,NA,Yes,NA,NA_NA
3,Brain looked normal no evidence of tumor on spine either,23784,Mouse was paralyzed,44088,NA,Yes,NA,NA_NA
NA,"Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well",23786,Completely paralyzed,44032Slight domed head noticed,NA,Yes,NA,NA_NA
3,Small necrotic tumor underneath brain surrounding left cranial nerves,23787,Completely paralyzed,44042,NA,Yes,NA,NA_NA
NA,brain looked normal,23789,Paralyzed,44039,NA,Yes,NA,NA_NA
1,"Large tumor growing on skull, brain appeared normaln if slightly smaller.",23790,domed head + difficulty breathing,44039,NA,Yes,NA,NA_NA
1,"tumor underneath brain surrounding cranial nerves, very soft necrotic tissue surrounding brain",23791,"domed head, weak/paralyzed body, difficulty breathing",44039,NA,Yes,NA,NA_NA
3,small cranial nerve tumor,23792,difficulty breathing,44048,NA,Yes,NA,NA_NA
1,"Very large brain which accounted for domed head, large tumor underneath brain surrounding left frontal cranial nerve.",23823,slight domed head and complete paralysis.,44033,NA,Yes,HCI -20-23823-BR,NA_NA
3,"brain looks normal, head tumor is not attached to skin or brain",23824,Large tumor on front right of head,44020,"head tumor, spinal cord (not intact)",Yes,HCI -20-23824-BR,"HCI-20-23824-SpCo,HCI-20-23824-HeTu_NA"
1,Tumor surrounding left posterior cranial nerve,23826,"weak/paralyzed body, difficulty breathing",44035,NA,Yes,NA,NA_NA
1,Mouse had a large tumor growing off side of body. Appeared to have originated from boony rib tissue?,23828,"Paralyzed, slightly lopsided face",44035,NA,Yes,NA,NA_NA
NA,brain looked normal,23864,Healthy sacked for TVA status,N/A,NA,Yes,NA,NA_NA
NA,Brain looked perfectly normal,23865,Experimental end date (Mistake in Cages tab about 30 days too early).,N/A,NA,Yes,NA,NA_NA
3,Medium sized necrotic tumor underneath brain surrounding cranial nerves and brain.,23866,Weak and sickly with domed head,44039,NA,Yes,NA,NA_NA
NA,Brain looked perfectly normal,23964,Completely paralyzed,44075,NA,Yes,NA,NA_NA
NA,Brain looked perfectly normal,23965,Paralyzed with small tumor on back end of body,44088Weakness in legs noticed,Tumor on surrounding spine at base of tail observed. Tissue frozen and fixed,Yes,NA,NA_NA
1,"Large tumor growing underneath brain, and small growth under skin on shoulder.",23966,Mouse was very sickly barely moving,44089,tumor underneath brain as well as shoulder tumor.  tumor and shoulder tumor used to create cell lines. Frozen sample of nerve tumor as well,Yes,NA,NA_NA
NA,Necrotic tussie underneath brain,23967,Sickly with tumor growing on head and large tumor groeing on hips/base of spine,44050,"head tumor, spine tumorVery large tumor encasing half of spine, all of the hips and at base of tail. Head tumor as well, and necrotic tissue underneath brain",Yes,NA,NA_NA
NA,Brain looked perfectly normal,23968,Mouse was fully paralyzed,44076,NA,Yes,NA,NA_NA
NA,Brain looked perfectly normal,23969,Completely paralyzed,44075,NA,Yes,NA,NA_NA
1,Very large tumor growing over the skull but brain looked normal,23970,Tumor on head was very large and mouse was sickly,44040,NA,Yes,NA,NA_NA
NA,Brain looked perfectly normal,23971,Completely paralyzed,44075,NA,Yes,NA,NA_NA
NA,"started looking lethargic, back became more arched, not moving around much and wanted to sack before it possibly dies on its own over the weekend",25764,NA,44286,and cranial nerve tumor,Brain and cranial nerve tumor,NA,"Also started a cell line from the cranial nerve tumor, which looked like an enlarged mass not connected to the brain, but effecting both sides of the large cranial nerve that is under the optic nerve. Both sides were harvested as one, with a piece of both fixed. No sample was frozen._NA"
NA,hind legs were starting to become paralyzed,26011,"hind legs starting to loose mobility, would have probably become paralyzed over the weekend",NA,NA,Brain,NA,NA_NA
NA,"No, domed head noticed when still alive-swollen brain but found dead so hard to tell.",25505,"Foun dead, must have died th enight before.",44246,NA,full brain,HCI-21-25505,Brain was in good condition but hard to tell if swelling was present. Slight domed head noticed when animal was alive._NA
2,Maybe,25766,paralysis,44225,NA,full brain,HCI-21-25766,Brain was completely hollow and filled with liquid. Mouse sacked due to paralysis_NA
1,large head tumor,26009,NA,44270,and head tumor,Brain and head tumor,NA,"Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from._NA"
1,tumor on head above left eye,26022,NA,44270,and head tumor,Brain and head tumor,NA,"Head tumor did not appear to grow out from eye or ear, was separate from the skin, attached to the skull, no vasculature except on the periphery. Attached to the brain, but not by much is a small ball right at the front of it. That ball was preserved as well, but may or may not make it into the slides. Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from._NA"
1,looked like a domed head at first that manifested as a large head tumor,26037,NA,44273,and head tumor,Brain and head tumor,NA,"Mouse was healthy in all aspects except for head tumor that was reaching 2cm. Brain and tumor were FFPE, part of tumor was also frozen and used to grow a cell line from._NA"
