mouse_num,dob,injection_date,sac_date,nec_date,nec_by,dox_tx,zinc_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,tumor_bool,comments,tis_brain,tis_optic_n,tis_lung,tis_liver,tis_spinal_c,tis_cran_n,tis_eye,unknown_t1,tum_neck,tum_cran_n,tum_spinal_c,tum_head,tum_low_back_ribs,tum_skin,tum_extracranial,tum_shoulder,tum_brain,tum_kidney,tum_bladder,tum_eye,paralysis,abnormal_appearance,nec_NED,xclude,necropsy_file_path
22925,2020-03-03,2020-03-05,2020-06-18,2020-05-24,GP,No,,HCI-22925-BR,1,yes,,1,"large white mass under brain. Rick thinks enlarged pituitary. ... protruding rectum, difficulty walking. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22925.xls
22926,2020-03-03,2020-03-05,2020-05-24,2020-05-24,GP,No,,,1,yes,,1,"Large tumor invading left eye/domed head. ... Collected: Brain, extracranial tumor ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,1,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-22926.xls
23021,2020-03-03,2020-03-05,2020-06-06,2020-06-06,ZL,No,,HCI -20-23021-BR,1,yes,,1,"Uppon Necropsy massive tumor enveloping brain, face, and growing outside skull. ... Large domed head and disfigurement, difficulty moving back legs. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,1,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23021.xls
23269,2020-04-01,2020-04-05,2020-09-02,2020-09-02,ZL,No,,,1,yes,,0,Brain looked perfectly normal. ... Experimental end date. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,,,1,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23269.xls
23270,2020-04-17,2020-04-23,2020-07-01,2020-07-01,ZL,No,,HCI -20-23270-BR,1,yes,,0,Brain looked relatively normal. ... Mouse was fully paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23270.xls
23271,2020-04-01,2020-04-05,2020-07-21,2020-07-21,ZL,No,,HCI -20-23271-BR,1,yes,,0,"Indentation on top of head between lobes was filled with liquid. ... Slightly disfigured face, swollen eyes (no tumor seen outside skull), and paralyzed. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23271.xls
23286,2020-04-03,2020-04-05,2020-07-13,2020-07-13,ZL,No,,HCI -20-23286-BR,1,yes,,0,Slightly enlarged cranial nerves but brain looked normal. ... Completely paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,1,,,
23287,2020-04-03,2020-04-05,2020-07-01,2020-07-01,ZL,No,,HCI -20-23287-BR,1,yes,,1,"Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on eye as well.. ... Large tumor growing through eye, eye burst open.. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,1,,,,,1,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23287.xls
23288,2020-04-03,2020-04-05,2020-06-15,2020-06-15,ZL,No,,HCI -20-23288-BR,1,yes,,2,"Paralyzation and large growth coming out of head. ... Very large domed head, disfigurement, growth over eye and paralyzation of back legs.. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23288.xls
23289,2020-04-03,2020-04-05,2020-06-19,2020-06-19,ZL,No,,HCI -20-23289-BR,1,yes,,0,Animal was found paralyzed with inability to move any of its body from the front legs down.. ... Paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23289.xls
23290,2020-04-03,2020-04-05,2020-07-13,2020-07-13,ZL,No,,HCI -20-23290-BR,1,yes,,0,Slightly enlarged cranial nerves but brain looked normal. ... Completely paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23290.xls
23291,2020-04-03,2020-04-05,2020-06-29,2020-06-30,ZL,No,,HCI -20-23291-BR,1,yes,,1,"Blind and disfigured from tumors growing on head. ... Effectively blind, tumors on face and head completely swelled eyes shut.. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,1,,,,,,,,,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23291.xls
23292,2020-04-03,2020-04-05,2020-08-26,2020-08-26,ZL,No,,,1,yes,,0,Brain looked perfectly normal. ... Mouse was completely paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23292.xls
23293,2020-04-03,2020-04-05,2020-06-26,2020-06-15,ZL,No,,HCI -20-23293-BR,1,yes,,0,"Bottom of brain was completely mush, normal tissue present and underneath brain grey/white mush slightly attached to brain. ... Difficulty breathing, looked sick, slightly mishapen head.. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23293.xls
23294,2020-04-03,2020-04-05,2020-07-21,2020-07-21,ZL,No,,HCI -20-23294-BR,1,yes,,1,Very large tumor growing out of bone on skull at location of injection. Enlarged cranial nerve on posterior right side of head.. ... Very large tumor growing outside of skull + complete paralysis. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,1,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23294.xls
23295,2020-04-03,2020-04-05,2020-07-27,2020-07-27,ZL,No,,,1,yes,,1,Brain slightly smaller than would be expected but otherwise normal. ... 3-4 Tumors on head larger than 2 cm.. ... 2020-06-16 Slight domed head noticed ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,1,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23295.xls
23296,2020-04-03,2020-04-05,2020-06-26,2020-06-15,ZL,No,,HCI -20-23296-BR,1,yes,,0,"brain looked normal if a little weird shaped.. ... complete paralysis, and extreme hunched back. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23296.xls
23298,2020-04-03,2020-04-05,2020-07-08,2020-07-08,ZL,No,,HCI -20-23298-BR,1,yes,,0,"Completely paralyzed, unable to void properly, brain looked normal.. ... Completely paralyzed. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23298.xls
23300,2020-04-03,2020-04-05,2020-06-12,2020-06-12,ZL,No,,HCI -20-23300-BR,1,yes,,0,"Diffiulty moving and walking. ... Mouse could not move hind legs or front of body, difficulty walking. ... No domed head was noted ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23300.xls
23301,2020-04-03,2020-04-05,2020-07-17,2020-07-01,ZL,No,,HCI -20-23301-BR,1,yes,,0,Brain and spinal cord looked normal. Cranial nerves on left posterior portion slightly enlarged.. ... Paralyzed and difficulty breathing.. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23301.xls
23397,2020-04-10,2020-04-11,2020-06-26,2020-06-26,ZL,No,,HCI -20-23397-BR,1,yes,,1,large white tumor underneath left parietal lobe. ... complete paralysis + very hunched back. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,1,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23397.xls
23399,2020-04-10,2020-04-11,2020-08-04,2020-08-04,ZL,No,,,1,no,,0,"No symptoms TVA-. ... Collected: Brain, spinal cord intact ... Formalin Fixed: Yes",1,,,,1,,,,,,,,,,,,,,,,,,1,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23399.xls
23400,2020-04-10,2020-02-20,2020-06-01,2020-06-01,ZL,No,,HCI -20-23400-BR,1,yes,,0,Diffiulty moving and walking. ... Mouse had difficulty moving and breathing. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23400.xls
23401,2020-04-10,2020-04-11,2020-05-03,2020-05-03,GP,,No,,,,,0,"Broken leg; in pain/distress. ... Leg was stuck in grate of cage, and animal was hanging by leg.,Leg broken and unable to walk.,Distress/pain noted._Brain and all other organs appeared normal. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,,,1,2,X:/Holmen Lab/Necropsy files/Mouse Necropsy -HCI-20-23401.xls
23460,2020-04-18,2020-04-20,2020-09-09,2020-09-11,ZL,No,,,1,yes,,0,Brain looked perfectly normal. ... Prolapsed Uterus. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,,1,,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23460.xls
23461,2020-04-18,2020-04-20,2020-06-19,2020-06-19,ZL,No,,HCI -20-23461-BR,1,yes,,0,Animal was found paralyzed with inability to move any of its body from the front legs down.  Difficulty breathing. ... Paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23461.xls
23463,2020-04-18,2020-04-20,2020-06-29,2020-06-30,ZL,No,,HCI -20-23463-BR,1,yes,,1,"Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.. ... Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull.. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,1,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23463.xls
23464,2020-04-18,2020-04-20,2020-07-08,2020-07-08,ZL,No,,HCI -20-23464-BR,1,yes,,1,Paralyzed with small tumor growing on face. No apparent tumor on skull brain looked normal.. ... Paralyzed with small tumor growing on eye. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,1,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23464.xls
23465,2020-04-18,2020-04-20,2020-06-29,2020-06-30,ZL,No,,HCI -20-23465-BR,1,yes,,1,"Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.. ... Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull.. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,1,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23465.xls
23466,2020-04-18,2020-04-20,2020-07-21,2020-07-21,ZL,No,,HCI -20-23466-BR,1,yes,,0,"Brain looked gray and pale but otherwise normal.. ... Lack of grooming, difficulty breathing, looked weak and sickly... ... 6/4/2020 (noticed animal looked sickly) ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23466.xls
23467,2020-04-19,2020-04-20,2020-08-05,2020-08-05,ZL,No,,,1,yes,,1,"Very large tumor underneath brain emanating from left optic cranial nerve. ... Domed head, weak and sickly, difficulty breathing. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23467.xls
23468,2020-05-19,2020-04-20,2020-08-26,2020-08-26,ZL,No,,,1,yes,,0,Brain looked perfectly normal. ... Mouse was very sick difficulty breathing. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23468.xls
23469,2020-04-19,2020-04-20,2020-07-16,2020-07-16,RH,No,,HCI -20-23469-BR,1,yes,,0,"Slightly enlarged cranial nerves but brain looked normal, mouse was paralyzed. ... paralyzed lower limbs. ... HCI-20-23469-SpCo. ... 7/15/2020, paralysis noted ... Collected: Brain, spinal cord ... Formalin Fixed: Yes",1,,,,1,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23469.xls
23470,2020-04-19,2020-04-20,2020-06-29,2020-06-30,ZL,No,,HCI -20-23470-BR,1,yes,,1,"Was paralyzed, had tumor growing outside the skull (small), and large white mass found underneath brain.. ... Paralyzed + disfiguremnt from ttumors on face. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,1,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23470.xls
23522,2020-04-22,2020-04-23,2020-06-29,2020-06-30,ZL,No,,HCI -20-23522-BR,1,yes,,0,Completely paralyzed. ... Completely paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23522.xls
23523,2020-04-22,2020-04-23,2020-06-19,2020-06-19,ZL,No,,HCI -20-23523-BR,1,yes,,0,paralyzed. ... Paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23523.xls
23524,2020-04-22,2020-04-23,2020-07-16,2020-07-16,RH,No,,HCI -20-23524-BR,1,yes,,1,"Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.. ... Right eye is enlarged and could rupture. ... HCI-20-23524-SpCo,HCI-20-23524-Ey ... Collected: Brain, eye, spinal cord (not intact) ... Formalin Fixed: Yes",1,,,,1,,1,,,,,,,,,,,,,1,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23524.xls
23526,2020-04-22,2020-04-23,2020-07-06,2020-06-30,ZL,No,,HCI -20-23526-BR,1,yes,,1,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal. ... Paralyzed with large tumor growing on skull. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,1,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23526.xls
23527,2020-04-22,2020-04-23,2020-07-27,2020-07-27,ZL,No,,,1,yes,,1,Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve. ... Complete paralysis.. ... 2020-06-04 Slight domed head noticed ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,1,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23527.xls
23528,2020-04-22,2020-04-23,2020-08-11,2020-08-07,ZL,No,,,1,yes,,1,"small tumor ontop of skull, brain looked normal. ... difficulty breathing, domed head, sick. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,1,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23528.xls
23783,2020-05-23,2020-05-24,2020-08-09,2020-08-10,ZL,No,,,1,yes,,0,"Brain was soft but most likely from being dead a little while, everything appeared normal. ... Completely paralyzed? Animal was found dead but had weakness in legs beforehand. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23783.xls
23784,2020-05-23,2020-05-24,2020-09-17,2020-09-17,ZL,No,,,1,yes,,0,Brain looked normal no evidence of tumor on spine either. ... Mouse was paralyzed. ... Collected: brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23784.xls
23786,2020-05-23,2020-05-24,2020-07-27,2020-07-27,ZL,No,,,1,yes,,2,"Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well. ... Completely paralyzed.. ... 2020-07-20 Slight domed head noticed ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23786.xls
23787,2020-05-23,2020-05-24,2020-08-04,2020-08-04,ZL,No,,,1,yes,,1,Small necrotic tumor underneath brain surrounding left cranial nerves. ... Completely paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,1,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23787.xls
23789,2020-05-23,2020-05-24,2020-08-13,2020-08-13,ZL,No,,,1,yes,,0,brain looked normal. ... Paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23789.xls
23790,2020-05-23,2020-05-24,2020-08-13,2020-08-13,ZL,No,,,1,yes,,1,"Large tumor growing on skull, brain appeared normaln if slightly smaller.. ... domed head + difficulty breathing. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,,,1,,,,,,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23790.xls
23791,2020-05-23,2020-05-24,2020-07-31,2020-07-31,ZL,No,,,1,yes,,1,"tumor underneath brain surrounding cranial nerves, very soft necrotic tissue surrounding brain. ... domed head, weak/paralyzed body, difficulty breathing. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23791.xls
23792,2020-05-23,2020-05-24,2020-08-13,2020-08-13,ZL,No,,,1,yes,,1,small cranial nerve tumor. ... difficulty breathing. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,1,,,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23792.xls
23821,2020-05-28,2020-05-29,2020-08-21,2020-08-21,ZL,No,,,1,yes,,0,Evrything appeared normal. ... TVA- Sacked as a control. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,,,1,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23821.xls
23822,2020-05-28,2020-05-29,2020-08-11,2020-08-07,ZL,No,,,1,yes,,1,"slight domed head with liquid, small necrotic tumor on cranial nerve.. ... Completely paralyzed. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23822.xls
23823,2020-05-28,2020-05-29,2020-07-21,2020-07-21,ZL,No,,HCI -20-23823-BR,1,yes,,1,"Very large brain which accounted for domed head, large tumor underneath brain surrounding left frontal cranial nerve.. ... slight domed head and complete paralysis.. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23823.xls
23824,2020-05-28,2020-05-29,2020-07-16,2020-07-16,RH,No,,HCI -20-23824-BR,1,yes,,1,"brain looks normal, head tumor is not attached to skin or brain. ... Large tumor on front right of head. ... HCI-20-23824-SpCo,HCI-20-23824-HeTu ... Collected: Brain, head tumor, spinal cord (not intact) ... Formalin Fixed: Yes",1,,,,1,,,,,,,1,,,,,,,,,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23824.xls
23826,2020-05-28,2020-05-29,2020-07-31,2020-07-31,ZL,No,,,1,yes,,1,"Tumor surrounding left posterior cranial nerve. ... weak/paralyzed body, difficulty breathing. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23826.xls
23828,2020-05-28,2020-05-29,2020-08-21,2020-08-21,ZL,No,,,1,yes,,1,"Mouse had a large tumor growing off side of body. Appeared to have originated from boony rib tissue?. ... Paralyzed, slightly lopsided face. ... Collected: Brain ... Formalin Fixed: Yes",1,,,,,,,,,,,,1,,,,,,,,1,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23828.xls
23864,2020-05-30,2020-06-01,2020-08-17,2020-08-17,ZL,No,,,1,yes,,0,brain looked normal. ... Healthy sacked for TVA status. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,,,1,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23864.xls
23865,2020-05-30,2020-06-01,2020-09-29,2020-09-29,ZL,No,,,1,yes,,0,Brain looked perfectly normal. ... Experimental end date (Mistake in Cages tab about 30 days too early).. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,,,1,1,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23865.xls
23866,2020-05-30,2020-06-01,2020-08-07,2020-08-07,ZL,No,,,1,yes,,1,Medium sized necrotic tumor underneath brain surrounding cranial nerves and brain.. ... Weak and sickly with domed head. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,1,,,,,,,,,,,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23866.xls
23964,2020-06-15,2020-06-18,2020-09-02,2020-09-02,ZL,No,,,1,yes,,0,Brain looked perfectly normal. ... Completely paralyzed. ... Collected: Brain ... Formalin Fixed: Yes,1,,,,,,,,,,,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23964.xls
23965,2020-06-15,2020-06-18,2020-09-15,2020-09-15,ZL,No,,,1,yes,,1,Brain looked perfectly normal. ... Paralyzed with small tumor on back end of body.. ... 2020-09-14 Weakness in legs noticed ... Collected: BrainTumor on surrounding spine at base of tail observed. Tissue frozen and fixed ... Formalin Fixed: Yes,1,,,,,,,,,,1,,,,,,,,,,1,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23965.xls
23966,2020-06-15,2020-06-18,2020-10-02,2020-10-30,ZL,No,,,1,yes,,1,"Large tumor growing underneath brain, and small growth under skin on shoulder.. ... Mouse was very sickly barely moving. ... Collected: Brain, tumor underneath brain as well as shoulder tumor. Brain tumor and shoulder tumor used to create cell lines. Frozen sample of nerve tumor as well ... Formalin Fixed: Yes",1,,,,,,,,,1,,,,,,1,1,,,,,,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23966.xls
23967,2020-06-15,2020-06-18,2020-09-15,2020-09-15,ZL,No,,,1,yes,,1,"Necrotic tussie underneath brain. ... Sickly with tumor growing on head and large tumor groeing on hips/base of spine. ... Collected: Brain, head tumor, spine tumorVery large tumor encasing half of spine, all of the hips and at base of tail. Head tumor as well, and necrotic tissue underneath brain ... Formalin Fixed: Yes",1,,,,,,,,,,1,1,,,,,,,,,,1,,,X:/Holmen Lab/Necropsy files/Mouse Necropsy HCI -20-23967.xls
