tumor_bool,tumor_qual,mouse_num,initials,nec_date,disposition,sex,strain,sac_date,injection_date,virus,date_tumor_reported,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,comments,rcas_injection,injection_route,dob,t,tissue_br,tissue_optic_n,tissue_lung,tissue_liver,date_tumor_reported2
3,"Uppon Necropsy massive tumor enveloping brain, face, and growing outside skull",23021,ZL,6/6/2020,"Large domed head and disfigurement, difficulty moving back legs",M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,6/6/2020,3/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,5/24/2020,No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,NA,NA,Yes,HCI -20-23021-BR,1,Yes,NA,NA_NA,Yes,intracranial,3/3/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23269,ZL,9/2/2020,Experimental end date,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,9/2/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,4/1/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked relatively normal,23270,ZL,7/1/2020,Mouse was fully paralyzed,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/1/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/29/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23270-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/17/2020,Brain,1,NA,NA,NA,NA
NA,Indentation on top of head between lobes was filled with liquid,23271,ZL,7/21/2020,"Slightly disfigured face, swollen eyes (no tumor seen outside skull), and paralyzed",F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/21/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/21/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23271-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/1/2020,Brain,1,NA,NA,NA,NA
NA,Slightly enlarged cranial nerves but brain looked normal,23286,ZL,7/13/2020,Completely paralyzed,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/13/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/17/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23286-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
3,Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on eye as well.,23287,ZL,7/1/2020,"Large tumor growing through eye, eye burst open.",F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/1/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/17/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23287-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,Paralyzation and large growth coming out of head,23288,ZL,6/15/2020,"Very large domed head, disfigurement, growth over eye and paralyzation of back legs.",F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/15/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/4/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23288-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,Animal was found paralyzed with inability to move any of its body from the front legs down.,23289,ZL,6/19/2020,Paralyzed,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/19/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/11/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23289-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,Slightly enlarged cranial nerves but brain looked normal,23290,ZL,7/13/2020,Completely paralyzed,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/13/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/17/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23290-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
3,Blind and disfigured from tumors growing on head,23291,ZL,6/30/2020,"Effectively blind, tumors on face and head completely swelled eyes shut.",F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/29/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23291-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23292,ZL,8/26/2020,Mouse was completely paralyzed,M,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,8/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,8/25/2020,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,"Bottom of brain was completely mush, normal tissue present and underneath brain grey/white mush slightly attached to brain",23293,ZL,6/15/2020,"Difficulty breathing, looked sick, slightly mishapen head.",M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/16/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23293-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
1,Very large tumor growing out of bone on skull at location of injection. Enlarged cranial nerve on posterior right side of head.,23294,ZL,7/21/2020,Very large tumor growing outside of skull + complete paralysis,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/21/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/21/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23294-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,Brain slightly smaller than would be expected but otherwise normal,23295,ZL,7/27/2020,3-4 Tumors on head larger than 2 cm,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/27/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,43998Slight domed head noticed
NA,brain looked normal if a little weird shaped.,23296,ZL,6/15/2020,"complete paralysis, and extreme hunched back",F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/17/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23296-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,"Completely paralyzed, unable to void properly, brain looked normal.",23298,ZL,7/8/2020,Completely paralyzed,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/8/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/6/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23298-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,Diffiulty moving and walking,23300,ZL,6/12/2020,"Mouse could not move hind legs or front of body, difficulty walking",M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/12/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/12/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23300-BR,1,Yes,NA,No domed head was noted_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
NA,Brain and spinal cord looked normal. Cranial nerves on left posterior portion slightly enlarged.,23301,ZL,7/1/2020,Paralyzed and difficulty breathing.,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/17/2020,4/5/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/8/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23301-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/3/2020,Brain,1,NA,NA,NA,NA
3,:arge white tumor underneath left parietal lobe,23397,ZL,6/26/2020,complete paralysis + very hunched back,F,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/26/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/8/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23397-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/10/2020,Brain,1,NA,NA,NA,NA
0,NA,23399,ZL,8/4/2020,No symptoms TVA-,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/4/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,spinal cord intact,NA,Yes,NA,1,NO,NA,NA_NA,Yes,intracranial,4/10/2020,"Brain, spinal cord intact",1,NA,NA,NA,NA
NA,Diffiulty moving and walking,23400,ZL,6/1/2020,Mouse had difficulty moving and breathing,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/1/2020,2/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,5/20/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23400-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/10/2020,Brain,1,NA,NA,NA,NA
0,NA,23401,GP,5/3/2020,Broken leg; in pain/distress,M,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+,5/3/2020,4/11/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,NA,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+,NA,No,Yes,NA,NA,NA,NA,"Leg was stuck in grate of cage, and animal was hanging by leg.,Leg broken and unable to walk.,Distress/pain noted._Brain and all other organs appeared normal.",Yes,Intracranial,4/10/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23460,ZL,9/11/2020,Prolapsed Uterus,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/9/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,NA
NA,Animal was found paralyzed with inability to move any of its body from the front legs down.  Difficulty breathing,23461,ZL,6/19/2020,Paralyzed,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,6/19/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/11/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23461-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,NA
1,Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.,23463,ZL,6/30/2020,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull.",M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/12/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23463-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,NA
3,Paralyzed with small tumor growing on face. No apparent tumor on skull brain looked normal.,23464,ZL,7/8/2020,Paralyzed with small tumor growing on eye,M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,7/8/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/4/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23464-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,NA
1,Brain looked small with part of skull caved in under tumor. Extremely large tumor mass found surroundiong entire skull.,23465,ZL,6/30/2020,"Mouse looked sick, blood coming out of ears and extrememly large tumor growth on skull.",M,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/12/2020,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23465-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked gray and pale but otherwise normal.,23466,ZL,7/21/2020,"Lack of grooming, difficulty breathing, looked weak and sickly.",M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,7/21/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23466-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/18/2020,Brain,1,NA,NA,NA,6/4/2020 (noticed animal looked sickly)
1,Very large tumor underneath brain emanating from left optic cranial nerve,23467,ZL,8/5/2020,"Domed head, weak and sickly, difficulty breathing",F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,8/5/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/8/2020,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,4/19/2020,Brain,1,NA,NA,NA,NA
NA,Brain looked perfectly normal,23468,ZL,8/26/2020,Mouse was very sick difficulty breathing,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,8/26/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,8/26/2020,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/19/2020,Brain,1,NA,NA,NA,NA
NA,"Slightly enlarged cranial nerves but brain looked normal, mouse was paralyzed",23469,RH,7/16/2020,paralyzed lower limbs,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/16/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,spinal cord,NA,Yes,HCI -20-23469-BR,1,Yes,NA,HCI-20-23469-SpCo_NA,Yes,intracranial,4/19/2020,"Brain, spinal cord",1,NA,NA,NA,"7/15/2020, paralysis noted"
3,"Was paralyzed, had tumor growing outside the skull (small), and large white mass found underneath brain.",23470,ZL,6/30/2020,Paralyzed + disfiguremnt from ttumors on face,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/20/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/12/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23470-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/19/2020,Brain,1,NA,NA,NA,NA
NA,Completely paralyzed,23522,ZL,6/30/2020,Completely paralyzed,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,6/29/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/29/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23522-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,NA
NA,paralyzed,23523,ZL,6/19/2020,Paralyzed,F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,6/19/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/11/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23523-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,NA
1,Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.,23524,RH,7/16/2020,Right eye is enlarged and could rupture,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/16/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,7/8/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,"eye, spinal cord (not intact)",NA,Yes,HCI -20-23524-BR,1,Yes,NA,"HCI-20-23524-SpCo,HCI-20-23524-Ey_NA",Yes,intracranial,4/22/2020,"Brain, eye, spinal cord (not intact)",1,NA,NA,NA,NA
1,Tumor present on side of body weird fatty skin growth. Brain looked normal,23525,ZL,9/17/2020,Bloody cutaneous tumro growing on side,M,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,9/17/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,8/20/2020,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,"Tumor and brain, tumor tissue frozen, cell line started, and formalin fixed",NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,4/22/2020,"Tumor and brain, tumor tissue frozen, cell line started, and formalin fixed",1,NA,NA,NA,NA
1,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal",23526,ZL,6/30/2020,Paralyzed with large tumor growing on skull,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/6/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,6/29/2020,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,HCI -20-23526-BR,1,Yes,NA,NA_NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,NA
3,Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve,23527,ZL,7/27/2020,Complete paralysis,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,7/27/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,NA,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,43986Slight domed head noticed
3,"small tumor ontop of skull, brain looked normal",23528,ZL,8/7/2020,"difficulty breathing, domed head, sick",M,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,8/11/2020,4/23/2020,RCAS Cre-U6sgRNA-ex2-NF1,8/4/2020,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,4/22/2020,Brain,1,NA,NA,NA,NA
NA,"Brain was soft but most likely from being dead a little while, everything appeared normal",23783,ZL,8/10/2020,Completely paralyzed? Animal was found dead but had weakness in legs beforehand,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,8/9/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,8/7/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/23/2020,Brain,1,NA,NA,NA,NA
3,Brain looked normal no evidence of tumor on spine either,23784,ZL,9/17/2020,Mouse was paralyzed,F,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,9/17/2020,5/24/2020,RCAS Cre-U6sgRNA-ex2-NF1,9/14/2020,No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,NA,NA,Yes,NA,1,Yes,NA,NA_NA,Yes,intracranial,5/23/2020,brain,1,NA,NA,NA,NA
