mouse_num,initials,todays_date,disposition,sex,strain,sac_date,age_at_sac,virus_1,evidence_of_tumor,dox_tx,genotype,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,additonal_comments,rcas_injection,injection_route,age_at_tumor_onset,dob,injection_date1,injection_date2,tumor_date
26281,RH,2021-05-19,,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-17,87,RCAS Cre U6 sgRNA Ex2 NF1,,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"Brain, cranial nerve tumor",No,Brain,NA,NA,NA,NA,"partially paralyzed on hind legs, mass observed on base of cranial cavity between the cranial nerves, used for a cell line, brain may have looked a little puffy",NA,NA,NA,2021-02-19,2021-02-21,NA,
25025,RH,2021-01-27,"lethargic, domed head, hunched back",F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,2021-01-27,106,RCAS Cre-U6sgRNA-ex2-NF1,Yes,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX f/f,"Brain, spinal cord/brain stem",No,full brain,HCI-20-25025,NA,yes,No,"brain looked hollow, fixed the entire brain just incase it was a rare brain tumor. Brainstem/spinal chord looked enlarged. Not a big enough tumor to justify fixing and freezing a portion, so I just trypsinized it for a cell line.",NA,NA,NA,2020-10-13,2020-10-14,NA,2021-01-21
26827,RH,2021-09-09,,M,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,2021-09-09,146,RCAS Cre-U6-sgRNA-Ex2-NF1,,NA,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,"Brain, lung, tumor",No,"Brain, lung, tumor",NA,NA,NA,NA,"tumor below left ear, ruffled fur, walking in circles, much skinnier than other mouse in cage",NA,NA,NA,2021-04-16,2021-04-16,2021-04-19,
26865,RH,2021-07-24,"""tumor"" ulcered",F,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,2021-07-22,93,RCAS Cre U6 sgRNA NF1 Ex2,Yes,NA,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,"B,L,T1",No,"B,L,T1",NA,NA,NA,No,"Tumor appeared as a red sore or scab under the right ear. The wound opened on 7/22, so the mouse had to be euthanized.",NA,NA,NA,2021-04-20,2021-04-20,2021-04-21,2021-07-18
26867,RH,2021-09-03,,F,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,2021-09-03,136,RCAS Cre-U6-sgRNA-Ex2-NF1,,NA,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,"Brain, lung, tumor",No,"Brain, lung, tumor",NA,NA,NA,NA,"started to walk in circles, large tumor under the skin around the back of the neck and shoulder",NA,NA,NA,2021-04-20,2021-04-20,2021-04-21,
26870,RH,2021-08-12,,M,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,2021-08-12,114,RCAS Cre-U6-sgRNA-Ex2-NF1,,NA,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,"Brain, lung, 3 tumors",No,"Brain, lung, 3 tumors",NA,NA,NA,NA,"2 large tumors under the skin, one under left shoulder and one on right side of neck starting to ulcer, also a third ""tumor"" in the skin on the left side starting to ulcer but may have been a fight wound scar; tumors first noticed on the 3rd, began loosing weight on 10th, walking wobbly on the 11th, ulcering on 12th",NA,NA,NA,2021-04-20,2021-04-20,2021-04-21,
27415,RH,2021-10-23,,F,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,2021-10-23,108,RCAS Cre-U6-sgRNA-Ex2-NF1,,NA,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,"Brain, lung, tumor",No,"Brain, lung, tumor",NA,NA,NA,NA,"soft tumor under skin on the back of the neck/shoulder, had to sack when it reached 2cm, filled with some fluid when it was cut into. Part of tumor was frozen, fixed, and used for a cell line.",NA,NA,NA,2021-07-07,2021-07-08,2021-07-10,
27416,RH,2021-10-04,,F,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,2021-10-08,93,RCAS Cre-U6-sgRNA-Ex2-NF1,,NA,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,"Brain, lung, tumor",No,"Brain, lung, tumor",NA,NA,NA,NA,"Tumor first noticed on top of head as a difference in fur growth (not really palpable at first), tracked growth until too big, tumor was able to be separated from the skin, was softer than the head tumors seen in the glioma model and was able to be cleared away from the skull",NA,NA,NA,2021-07-07,2021-07-08,2021-07-10,
27648,RH,2021-09-27,,M,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,2021-09-27,56,RCAS Cre-U6-sgRNA-Ex2-NF1,,NA,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,"Brain, lung, tumor",No,"Brain, lung, tumor",NA,NA,NA,NA,"Mouse was supposed to be renotched as a -03, but it looks like a -30, , looked very sick an not very moblile with urine stains, upon necropsy mouse had regular looking intestines and did have a white looking mass on back of skull a little larger on the left than on the right, possibly infiltrating into the skull into the cerebellum.",NA,NA,NA,2021-08-02,2021-08-02,2021-08-03,
28202,RE,2021-12-27,,M,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,2021-12-27,76,RCAS Cre-U6sgRNA-ex2-NF1 (RH 10/14/21),Y,NA,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,"Brain, Lungs, Liver, T1",No,"Brain, Lungs, Liver, T1",NA,NA,NA,NA,"intracranial tumor, sacked for tumor burden. Left frontal lobe was caved in from tumor. Tumor was attached to skull. Slice of tumor was cryopreserved. Liver had blood clot, lungs looked normal.",NA,NA,NA,2021-10-12,2021-10-14,NA,2021-12-20
28203,RE,2022-01-03,"Little Mobility in back legs,Trouble breathing,Red, sunken eyes,Extremely Underweight",F,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,2022-01-03,83,RCAS Cre-U6sgRNA-ex2-NF1 (10/13/21 RH),Y,NA,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,"T1, Brain, Lungs, Liver",No,"T1, Brain, Lungs, Liver",NA,NA,NA,NA,"Red, sunken eyes, possible blood clot on the liver, extracranial tumor, soft brain, little mobility on back legs, extremely underweight, normal lungs",NA,NA,NA,2021-10-12,2021-10-13,NA,2021-12-21
28204,RE,2021-01-03,"Red, Sunken Eyes,Head bulge",M,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,2022-01-03,83,RCAS Cre-U6sgRNA-ex2-NF1 (10/13/21 RH),N,NA,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",NA,NA,NA,NA,"Red, sunken eyes, head bulge, soft skull, fat on heart, no obs. Tumor, possible blood clot on liver",NA,NA,NA,2021-10-12,2021-10-14,NA,
25741,RH,2021-05-21,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-14,139,RCAS Cre U6 sgRNA Ex2 NF1,,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"Brain, cranial nerve tumor",No,Brain,NA,NA,NA,NA,"mouse looked like it was becoming emanciated and starting to have a hunched back, upon necropsy, there was a cranial nerve tumor somewhat attched to the base of the cranial cavity, and not as attached to the brain. A part of the tumor was fixed with the brain, while another part was frozen and used for a cell line.",NA,NA,NA,2020-12-26,2020-12-28,NA,
28204,RE,2021-01-03,"Complete Lower Paralysis,Swollen Cheeks,Large back hump",M,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,2022-01-03,83,RCAS Cre-U6sgRNA-ex2-NF1 (10/13/21 RH),N,NA,N-TVA::Ptenf/f;Atrxf/f;Cas9f/f;Inkf/f,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",NA,NA,NA,NA,"Complete lower paralysis, swollen cheeks, large hump on the back, thin skull, possible blood clot on the liver",NA,NA,NA,2021-10-12,2021-10-14,NA,
28207,KC,2021-12-16,,M,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,2021-12-15,64,RCAS Cre-U6sgRNA-ex2-NF1 (RH 10/14/21),,NA,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,"Brain, Lungs, Liver, T1",No,"Brain, Lungs, Liver, T1",NA,NA,NA,NA,"Tumor was on top of head, but did not go into the skull. The skull was intact and brain appeared normal. Lungs and Liver appeared normal",NA,NA,NA,2021-10-12,2021-10-14,NA,
28208,RE,2021-12-22,,M,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,2021-12-22,71,RCAS Cre-U6sgRNA-ex2-NF1 (RH 10/14/21),Y,NA,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,"Brain, Lungs, Liver, T1, T2, T3",No,"Brain, Lungs, Liver, T1, T2, T3",NA,NA,NA,NA,"extracranial tumor, sacked for tumor burden. Little movement, squinted eyes. Possible blood clot on the liver. 2 extra possible tumors: one close to the kindeys, the other close to the lower intestines (bladder?)",NA,NA,NA,2021-10-12,2021-10-14,NA,2021-12-04
28200,KC,2022-01-30,"Lethargic, red discharge around eye",M,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,2022-01-30,110,RCAS Cre-U6sgRNA-ex2-NF1 (RH 10/14/21),"Y,lethargic and red discharge around eye",NA,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,"Brain, Lungs, Liver, T1",No,"Brain, Lungs, Liver, T1",NA,NA,NA,NA,"intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal",NA,NA,NA,2021-10-12,2021-10-14,NA,2022-01-20
28708,KC,2022-06-07,Sacked for end date,F,N-TVA::Cas9f/f,2022-06-07,188,RCAS Cre-U6sgRNA-ex2-NF1 (12/3/21 RH),No,NA,N-TVA::Cas9f/f,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",NA,NA,NA,NA,"All organs appeared normal, no tumor noted",NA,NA,NA,2021-12-01,2022-12-03,NA,
28709,KC,2022-06-07,Sacked for end date,M,N-TVA::Cas9f/f,2022-06-07,188,RCAS Cre-U6sgRNA-ex2-NF1 (12/3/21 RH),No,NA,N-TVA::Cas9f/f,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",NA,NA,NA,NA,"All organs appeared normal, no tumor noted",NA,NA,NA,2021-12-01,2021-12-03,NA,
28780,KC,2022-06-07,Sacked for end date,F,N-TVA::Cas9f/f,2022-06-07,183,RCAS Cre-U6sgRNA-ex2-NF1 (12/7/21 RH),No,NA,N-TVA::Cas9f/f,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",NA,NA,NA,NA,"All organs appeared normal, no tumor noted, some hunching",NA,NA,NA,2021-12-06,2022-12-07,NA,
28782,KC,2022-06-07,Sacked for end date,M,N-TVA::Cas9f/f,2022-06-07,183,RCAS Cre-U6sgRNA-ex2-NF1 (12/7/21 RH),No,NA,N-TVA::Cas9f/f,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",NA,NA,NA,NA,"All organs appeared normal, no tumor noted",NA,NA,NA,2021-12-06,2021-12-07,NA,
28891,RF,2022-02-10,"Heavy breathing, sickly, primary tumor",M,All Alleles,2022-02-10,53,RCAS myr-HA-AKT1 + RCAS Cre (12/19/21 GP),Yes,NA,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,"Brain, Lungs, Liver, T1, T2",No,"Brain, Lungs, Liver, T1, T2",NA,NA,NA,No,"B, L, L looked normal.,Large growths found in chest cavity, explaining the difficulty breathing,T collected",NA,NA,NA,2021-12-19,2022-12-19,NA,
29163,KC,2022-06-21,Sacked for end date,M,N-TVA::Cas9f/f,2022-06-21,154,RCAS Cre-U6sgRNA-ex2-NF1 (1/20/22 RE),No,NA,N-TVA::Cas9f/f,"Brain, Optic Nerves",No,"Brain, Optic Nerves",NA,NA,NA,NA,"All organs appeared normal, no tumor noted",NA,NA,NA,2022-01-18,2022-01-20,NA,
26274,RH,2021-05-26,,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-05-26,96,RCAS Cre U6 sgRNA Ex2 NF1,,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,"Brain, spine tumor",No,"Brain, spine tumor",NA,NA,NA,NA,"tumor noticed on base of spine, no other symptom or abnormality observed after necropsy, part of tumor was fixed, part was used for a cell line, and part was frozen",NA,NA,NA,2021-02-19,2020-12-22,NA,
29164,KC,2022-06-21,Sacked for end date,M,N-TVA::Cas9f/f,2022-06-21,154,RCAS Cre-U6sgRNA-ex2-NF1 (1/20/22 RE),No,NA,N-TVA::Cas9f/f,"Brain, Optic Nerves",No,"Brain, Optic Nerves",NA,NA,NA,NA,"Brain was soft, all other organs appeared normal, no tumor noted",NA,NA,NA,2022-01-18,2022-01-20,NA,
29387,RE,2022-04-05,,M,N-TVA::Cas9f/f;Inkf/f,2022-04-05,55,RCAS Cre-U6sgRNA-ex2-NF1 (RE),Y,NA,N-TVA::Cas9f/f;Inkf/f,Brain,No,Brain,NA,NA,NA,NA,"head bulge, hunched back, ruffled fur. Upon necropsy, likely from hydrocephalus. Brain was like a deflated balloon, and fluid flowed from the skull upon dissection. Will submit to histology for confirmation",NA,NA,NA,2022-02-09,2022-02-10,NA,2022-03-29
29409,RE,2022-04-04,,M,N-TVA::Cas9f/f;Inkf/f,2022-04-04,53,RCAS Cre-U6sgRNA-ex2-NF1 (RE),Y,NA,N-TVA::Cas9f/f;Inkf/f,"Brain, Lungs, Liver",No,"Brain, Lungs, Liver",NA,NA,NA,NA,"ruffled fur noticed 3/29/22, but no indication of a glioma. Found nearly dead, hunched back, sunken eyes 4/4/22. Rest of litter mates were found dead.",NA,NA,NA,2022-02-10,2022-02-10,NA,2022-03-29
22846,ZL,2020-06-01,"Difficulty moving and breathing, mishapen head",F,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+,2020-06-01,105,RCAS Cre-U6sgRNA-ex2-NF1,"Difficulty moving, weirdly shaped head",No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-22846-BR,1,Yes,NA,,Yes,intracranial,NA,2020-02-17,2020-02-20,NA,2020-05-20
22925,GP,2020-05-24,"protruding rectum, difficulty walking",M,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,2020-06-18,107,RCAS Cre-U6sgRNA-ex2-NF1 (HW 3/5/20),"Yes,  large white mass under brain. Rick thinks enlarged pituitary",No,N-TVA;Ptenf/f;ATRXf/f;Cas9f/f;Ink4af/f,Brain,NA,Yes,HCI-22925-BR,1,Yes,NA,,Yes,intracranial,NA,2020-03-03,2020-03-05,NA,2020-06-15
23270,ZL,2020-07-01,Mouse was fully paralyzed,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,2020-07-01,75,RCAS Cre-U6sgRNA-ex2-NF1,Brain looked relatively normal,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-23270-BR,1,Yes,NA,,Yes,intracranial,NA,2020-04-17,2020-04-23,NA,2020-06-29
23287,ZL,2020-07-01,"Large tumor growing through eye, eye burst open.",F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,2020-07-01,89,RCAS Cre-U6sgRNA-ex2-NF1,Large white mass underneath brain and enveloping cranial nerves. Tumor present outside skull on eye as well.,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-23287-BR,1,Yes,NA,,Yes,intracranial,NA,2020-04-03,2020-04-05,NA,2020-06-17
23291,ZL,2020-06-30,"Effectively blind, tumors on face and head completely swelled eyes shut.",F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,2020-06-29,87,RCAS Cre-U6sgRNA-ex2-NF1,Blind and disfigured from tumors growing on head,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-23291-BR,1,Yes,NA,,Yes,intracranial,NA,2020-04-03,2020-04-05,NA,2020-06-29
23293,ZL,2020-06-15,"Difficulty breathing, looked sick, slightly mishapen head.",M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,2020-06-26,84,RCAS Cre-U6sgRNA-ex2-NF1,"Bottom of brain was completely mush, normal tissue present and underneath brain grey/white mush slightly attached to brain",No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-23293-BR,1,Yes,NA,,Yes,intracranial,NA,2020-04-03,2020-04-05,NA,2020-06-16
23294,ZL,2020-07-21,Very large tumor growing outside of skull + complete paralysis,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,2020-07-21,109,RCAS Cre-U6sgRNA-ex2-NF1,Very large tumor growing out of bone on skull at location of injection. Enlarged cranial nerve on posterior right side of head.,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-23294-BR,1,Yes,NA,,Yes,intracranial,NA,2020-04-03,2020-04-05,NA,2020-07-21
25503,ZL,2021-03-04,"Sick and hunched over, slight domed head.",M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-03-04,92,RCAS Cre-U6sgRNA-ex2-NF1,No,NA,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,Brain,No,full brain,HCI-21-25503,NA,yes,No,Brain was abnormally large and swollen but no clear sign of tumor tissue found.,NA,NA,NA,2020-12-02,2021-12-03,NA,2021-03-04
23397,ZL,2020-06-26,complete paralysis + very hunched back,F,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,2020-06-26,77,RCAS Cre-U6sgRNA-ex2-NF1,:arge white tumor underneath left parietal lobe,No,N-TVA:Ptenf/f;ATRX+/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-23397-BR,1,Yes,NA,,Yes,intracranial,NA,2020-04-10,2020-04-11,NA,2020-06-08
23467,ZL,2020-08-05,"Domed head, weak and sickly, difficulty breathing",F,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,2020-08-05,108,RCAS Cre-U6sgRNA-ex2-NF1,Very large tumor underneath brain emanating from left optic cranial nerve,No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,80,2020-04-19,2020-04-20,NA,2020-07-08
23524,RH,2020-07-16,Right eye is enlarged and could rupture,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,2020-07-16,85,RCAS Cre-U6sgRNA-ex2-NF1,Tumor behind right eye. Looks like a tumor of the occular nerve. Brain looks normal otherwise.,No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,"Brain, eye, spinal cord (not intact)",NA,Yes,HCI -20-23524-BR,1,Yes,NA,"HCI-20-23524-SpCo,HCI-20-23524-Ey",Yes,intracranial,NA,2020-04-22,2020-04-23,NA,2020-07-08
23526,ZL,2020-06-30,Paralyzed with large tumor growing on skull,F,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,2020-07-06,75,RCAS Cre-U6sgRNA-ex2-NF1,"Completely paralyzed, and large tumor covering entired skull. Brain underneath skull appeared normal",No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,HCI -20-23526-BR,1,Yes,NA,,Yes,intracranial,NA,2020-04-22,2020-04-23,NA,2020-06-29
23527,ZL,2020-07-27,Complete paralysis,M,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,2020-07-27,96,RCAS Cre-U6sgRNA-ex2-NF1,"Hollow left hemisphere maybe filled with liquid + tumor on right posterior cranial nerve,Slight domed head noticed",No,N-TVA:Ptenf/f;ATRXf/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,NA,2020-04-22,2020-04-23,NA,2020-06-04
23528,ZL,2020-08-07,"difficulty breathing, domed head, sick",M,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,2020-08-11,111,RCAS Cre-U6sgRNA-ex2-NF1,"small tumor ontop of skull, brain looked normal",No,N-TVA:Ptenf/f;ATRX f/f;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,104,2020-04-22,2020-04-23,NA,2020-08-04
23786,ZL,2020-07-27,Completely paralyzed,M,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,2020-07-27,65,RCAS Cre-U6sgRNA-ex2-NF1,"Mushy gray tissue underneath brain surrounding cranial nerves, brain softer than normal enlarged as well,Slight domed head noticed",No,N-TVA:Ptenf/f;ATRX +/+;H11-Cas9f/f;Ink4a/Arff/f,Brain,NA,Yes,NA,1,Yes,NA,,Yes,intracranial,NA,2020-05-23,2020-05-24,NA,2020-07-20
