mouse_num,base2,resultant_geno,notes_bhe,sheri_has_seen_h_e,tumor_grade_post_h_e,src,exclude,metadata
25690,25690.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"high grade glioma on center and back sections, possibly left side of mouse, Ki67 positivity extends into the brain, pERK slide was scrapped off a bit, but primarily positive along the edge and not extending into the brain, PTEN is lower in the tumor not extending into the brain and darker on side edge",yes,,RH,,
25692,25692.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx wt,looks like a tumor is partially attached to the brain,yes,,RH,,
25694,25694.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"glioma is at the base of the brain in the center section as well as in the center of the brain near the split, Ki67 and pERK are slightly more prevelant in tumor areas, PTEN doesn't look any different than normal tissue",yes,,RH,,
25694,25694.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx wt,"glioma is at the base of the brain in the center section as well as in the center of the brain near the split, Ki67 and pERK are slightly more prevelant in tumor areas, PTEN doesn't look any different than normal tissue",yes,,RH,,
25741,25741.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"large high grade glioma on the back section of the brain toward the mouse's right side, some pallisading necrosis and vasculature, Ki67 is more positive towards the brain side and more negative towards the edge, pERK is positive throughout excluding the necrotic spots, PTEN is off in the tumor except for vasculature, but PTEN is also not very strong in the rest of the brain",yes,,RH,,
25767,25767.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"large glioma on the bottom side of the center section and back section (probably right side of the brain), neurons are visible within the tumor, Ki67 is higher in some areas, but not that high and they correlate with pERK, PTEN is still expressed in most of the tumor but there are some patterns that don't look like a staining artifact",yes,,RH,,
25767,25767.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx wt,"large glioma on the bottom side of the center section and back section (probably right side of the brain), neurons are visible within the tumor, Ki67 is higher in some areas, but not that high and they correlate with pERK, PTEN is still expressed in most of the tumor but there are some patterns that don't look like a staining artifact",yes,,RH,,
26012,26012.B.H&E.2022-04-06,nf1 KO; pten KO; ink KO; atrx wt,,,,RH + RE,,
26012,26012.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,,,,RH + RE,,
26012,26012.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx wt,,,,RH + RE,,
26066,26066.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"Sheri noticed an area of increased cellular density in the brain H&E, Ki67+, pERK-",yes,,RH,2,non-matching dob's. Used genotyping dob. 2021-01-25 vs. 2021-01-24
26066,26066.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx wt,"Sheri noticed an area of increased cellular density in the brain H&E, Ki67+, pERK-",yes,,RH,2,non-matching dob's. Used genotyping dob. 2021-01-25 vs. 2021-01-24
26137,26137.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"small glioma on the bottom edge of the center section, there is some Ki67+, but pERK is negative, PTEN looks lower in the tumor, exclude from pERK quantification because it was found dead",yes,,RH,,
26137,26137.B.H&E.2021-07-09,nf1 KO; pten KO; ink KO; atrx wt,"small glioma on the bottom edge of the center section, there is some Ki67+, but pERK is negative, PTEN looks lower in the tumor, exclude from pERK quantification because it was found dead",yes,,RH,,
26138,26138.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,,,,RH,,
26143,26143.B.H&E.2021-09-16,nf1 KO; pten KO; ink KO; atrx wt,"low grade glioma in all sections, lots of variability in Ki67 and pERK, PTEN has clear off regions",yes,,RH,,
26280,26280.B.H&E.2022-06-07,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,yes,,RH + RE,,
26281,26281.B.H&E.2022-05-20,nf1 KO; pten KO; ink KO; atrx wt,"possible tumor present on base of front section of the brain, Sheri says tumor cells on outside of brain starting to infiltrate",yes,,RH + RE,,
28205,28205.B.H&E.2022-04-06,nf1 KO; pten KO; ink KO; atrx wt,,,,RH + RE,,
29387,29387.B.H&E.2022-05-20,nf1 KO; pten wt; ink KO; atrx wt,,,Infiltrating Astrocytoma,RE,,
29409,29409.B.H&E.2022-05-20,nf1 KO; pten wt; ink KO; atrx wt,,,Grade II Infiltrating Astrocytoma,RE,,
