mouse_num,resultant_geno,notes_bhe,scan1,scan2,scan3,sample1,sample2,sample3,sheri_has_seen_h_e,nec_performed,src,exclude,metadata,needs_sample
23299,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-028-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-08-07 vs. 2020-07-27 used cohort date but can exclude from analysis if desired.,0
23300,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-029-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23301,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-030-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23397,nf1 KO; pten KO; ink KO; atrx wt,tumor under brain ,23397.B.H&E.2021-07-08,,,NFG03-031-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23399,tva negative,,,,,,,,,1,RH,1,TVA- on cohort data and/or genotyping,1
23400,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-032-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23401,nf1 KO; pten KO; ink KO; atrx wt,,,,,,,,,1,RH,1,excluded because was designated for exclusion on rick's excel sheet. No excplicit reason given. ,1
23460,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-033-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23461,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-034-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23463,nf1 KO; pten KO; ink KO; atrx wt,whole head sectioned with head tumor,,,,NFG03-035-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23464,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-036-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23465,nf1 KO; pten KO; ink KO; atrx wt,whole head sectioned with head tumor,,,,NFG03-037-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23466,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-038-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23467,nf1 KO; pten KO; ink KO; atrx KO,"big tumor on slide outside of brain, grade 2-3",23467.B.H&E.2021-07-09,,,NFG03-039-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23468,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-040-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23469,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-041-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23470,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-042-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23522,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-043-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23523,nf1 KO; pten KO; ink KO; atrx KO,"no glioma observable, but Sheri thinks there is possible leptomeningeal",,,,NFG03-044-NF-1 N-TVA ORIGINAL H&E 22841-25084,"NFG06-026-NF1 NON-GLIOMAS NTVA H&E, KI67, PERK, UNSTAINED",,yes,1,RH,,,0
23524,nf1 KO; pten KO; ink KO; atrx KO,"originally thought there might be a leptomeningeal tumor, but not able to verify by second H&E, Ki67 or pERK",23524.B.H&E.2021-07-09,,,NFG03-045-NF-1 N-TVA ORIGINAL H&E 22841-25084,"NFG06-029-NF1 NON-GLIOMAS NTVA H&E, KI67, PERK, UNSTAINED",,yes,1,RH,,,0
23525,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-046-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG03-047-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG03-048-NF-1 N-TVA ORIGINAL H&E 22841-25084,yes,1,RH,,,0
23526,nf1 KO; pten KO; ink KO; atrx KO,"originally thought there might be a glioma, but nothing seen in second H&E or Ki67",23526.B.H&E.2021-07-09,,,"NFG06-032-NF1 NON-GLIOMAS NTVA H&E, KI67, PERK, UNSTAINED",,,yes,1,RH,,,0
23527,nf1 KO; pten KO; ink KO; atrx KO,"low grade glioma in center section towards the side, Ki67 and pERK are not that distinct, but they are positive, PTEN looks less positive in tumor except for positive staining vasculature",23527.B.H&E.2021-07-08,23527.B.H&E.2021-09-16,,NFG03-049-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-067-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
23528,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-050-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23783,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-051-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23784,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-052-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23785,nf1 KO; pten KO; ink KO; atrx wt,"large glioma at base of brain on front and center sections, Ki67 is positive throughout the tumor except for some center areas, pERK is fairly dispursed throughout tumor, PTEN has some odd artifacts, but not that different than the rest of the brain except it does look lower than the brain for the front section",23785.B.H&E.2021-07-08,23785.B.H&E.2021-09-16,,NFG03-053-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-068-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-08-13 vs. 2020-08-07 used cohort date but can exclude from analysis if desired.,0
23786,nf1 KO; pten KO; ink KO; atrx wt,"large high grade glioma at the base of brain in the center and back sections, palisading necrosis and abnormal vasculature, Ki67 is high throughout except for a distinct shape at the center of the tumor (lymphocytes?) and the necrotic areas, pERK is more expressed towards the bottom edges and absent in that lymphocyte region, PTEN is clearly low in tumor except for vasculature and the lymphocyte region",23786.B.H&E.2021-07-08,23786.B.H&E.2021-09-16,,NFG03-054-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-069-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
23787,nf1 KO; pten KO; ink KO; atrx wt,"tumor tissue was thought to be on the side, but not seen in the second H&E and no Ki67 observed",23787.B.H&E.2021-07-08,,,NFG03-055-NF-1 N-TVA ORIGINAL H&E 22841-25084,"NFG06-035-NF1 NON-GLIOMAS NTVA H&E, KI67, PERK, UNSTAINED",,yes,1,RH,,,0
23788,nf1 KO; pten KO; ink KO; atrx wt,,,,,,,,,,RH,,,1
23789,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-056-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23790,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-057-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23791,nf1 KO; pten KO; ink KO; atrx wt,"tumor under brain, high grade",23791.B.H&E.2021-07-08,,,NFG03-058-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23792,nf1 KO; pten KO; ink KO; atrx wt,"low grade glioma in the center cection of the cerebral cortex, ki67 is slightly higher there, pERK is negative, PTEN is still expressed",23792.B.H&E.2021-07-08,23792.B.H&E.2021-09-16,,NFG03-059-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-070-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
23821,tva negative,,,,,,,,,1,RH,1,TVA- on cohort data and/or genotyping,1
23822,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-060-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23823,nf1 KO; pten KO; ink KO; atrx wt,"glioma is mostly exterior to the brain, but there is also a bit on the bottom of the center section, one section has more Ki67 than another, pERK is more positive on the bit still connected to the brain and not so positive on the exterior tumor, PTEN looks lower for the connected bit, but PTEN has some odd staining artifacts",23823.B.H&E.2021-07-08,23823.B.H&E.2021-09-16,,NFG03-061-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-071-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
23824,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-062-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23826,nf1 KO; pten KO; ink KO; atrx wt,tumor tissue visible under brain,23826.B.H&E.2021-07-08,,,NFG03-063-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23828,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-064-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23864,tva negative,,,,,,,,,1,RH,1,TVA- on cohort data and/or genotyping,1
23865,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-065-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,1,excluded because was designated for exclusion on rick's excel sheet. No excplicit reason given. ,0
23866,nf1 KO; pten KO; ink KO; atrx wt,"high grade glioma on base of center section with vasculature and some form of rosette patterns, evenly high Ki67 positivity and pERK, PTEN is lower than in the normal brain section and mostly just stained blood vessels",23866.B.H&E.2021-07-08,23866.B.H&E.2021-09-16,,NFG03-066-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-072-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
23867,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-067-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-08-05 vs. 2020-07-28 used cohort date but can exclude from analysis if desired.,0
23964,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-068-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23965,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-069-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG03-070-NF-1 N-TVA ORIGINAL H&E 22841-25084,,yes,1,RH,,,0
23966,nf1 KO; pten KO; ink KO; atrx wt,"some tumor can be seen on the edge, tumor is Ki67+",23966.B.H&E.2021-07-08,23966.B.H&E.2021-09-29,,NFG03-071-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-073-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
23967,nf1 KO; pten KO; ink KO; atrx wt,"there is tumor tissue under the brain, tumor ios Ki67+",23967.B.H&E.2021-07-08,,,NFG03-072-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG03-073-NF-1 N-TVA ORIGINAL H&E 22841-25084,,yes,1,RH,,,0
23968,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-074-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23969,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-075-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23970,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-076-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
23971,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-077-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
24801,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-078-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH + RE,,,0
24802,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-079-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH + RE,,,0
24803,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-080-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH + RE,,,0
24804,tva negative,no glioma,,,,NFG03-081-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,1,TVA- on cohort data and/or genotyping,0
24805,nf1 wt; pten KO; ink KO; atrx wt,"no glioma observable, but Sheri noticed a bundle of nerves",,,,NFG03-082-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH + RE,,,0
24806,nf1 wt; pten KO; ink KO; atrx wt,,,,,,,,,,RH,1,excluded because was designated for exclusion on rick's excel sheet. No excplicit reason given. ,1
24807,nf1 wt; pten KO; ink KO; atrx wt,"no glioma observable, but Sheri noticed a bundle of nerves",,,,NFG03-083-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH + RE,,,0
24986,nf1 KO; pten KO; ink KO; atrx wt,"Sheri thinks she sees a possible low grade tumor, nothing seen in Ki67 slide",24986.B.H&E.2021-07-09,,,NFG03-084-NF-1 N-TVA ORIGINAL H&E 22841-25084,"NFG06-038-NF1 NON-GLIOMAS NTVA H&E, KI67, PERK, UNSTAINED",,yes,,RH,,,0
24987,nf1 KO; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-085-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,,,0
24988,nf1 KO; pten KO; ink KO; atrx wt,"looks like there are pieces of tumor in the slide, but disconnected from the brain",24988.B.H&E.2021-07-09,,,NFG03-086-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
24989,nf1 KO; pten KO; ink KO; atrx wt,"no glioma observable, head tumor is there",,,,NFG03-087-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-12-24 vs. 2020-12-09 used cohort date but can exclude from analysis if desired.,0
25025,nf1 KO; pten KO; ink KO; atrx KO,"large high grade glioma present, Ki67+",25025.B.H&E.2021-07-08,25025.B.H&E.2021-09-29,,NFG03-088-NF-1 N-TVA ORIGINAL H&E 22841-25084,NFG04-074-NF1 GLIOMA SERIAL H&E UNSTAINED + PTEN,,yes,1,RH,,,0
25026,nf1 KO; pten KO; ink KO; atrx KO,"entire head was sectioned, no glioma observed, but head tumor is there",,,,NFG03-089-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2021-01-04 vs. 2020-12-09 used cohort date but can exclude from analysis if desired.,0
25027,nf1 KO; pten KO; ink KO; atrx KO,"entire head was sectioned, no glioma observed, but head tumor is there",,,,NFG03-090-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,,,0
25028,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-091-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,1,RH,,,0
25029,nf1 KO; pten KO; ink KO; atrx KO,"entire head was sectioned, no glioma observed, but head tumor is there",,,,NFG03-092-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-12-28 vs. 2020-12-09 used cohort date but can exclude from analysis if desired.,0
25031,nf1 KO; pten KO; ink KO; atrx KO,"no glioma observable, but tissue was all tore up due to hydrocephalus",,,,NFG03-093-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2020-12-30 vs. 2020-12-09 used cohort date but can exclude from analysis if desired.,0
25033,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-094-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,,,0
25034,nf1 KO; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG03-095-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH,2,conflicting death dates in cohort vs. genotyping files. 2021-01-04 vs. 2020-12-30 used cohort date but can exclude from analysis if desired.,0
25080,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-096-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH + RE,,,0
25081,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-097-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH + RE,,,0
25082,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-098-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH + RE,,,0
25083,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-099-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH + RE,,,0
25084,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG03-100-NF-1 N-TVA ORIGINAL H&E 22841-25084,,,yes,,RH + RE,,,0
25085,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG14-001-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,,RH + RE,,,0
25086,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG14-002-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,,RH + RE,,,0
25087,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-003-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25088,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-004-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25089,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-005-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25090,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-006-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25091,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-007-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25092,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-008-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25214,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG14-009-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,conflicting injection dates. Used Rick's data. 2020-11-05 vs 2020-11-06,0
25215,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG14-010-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,conflicting injection dates. Used Rick's data. 2020-11-05 vs 2020-11-06,0
25216,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG14-011-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,conflicting injection dates. Used Rick's data. 2020-11-05 vs 2020-11-06,0
25217,nf1 wt; pten KO; ink KO; atrx wt,,,,,,,,,,RH,2,conflicting death dates in cohort vs. genotyping files. 2021-01-17 vs. 2020-12-05 used cohort date but can exclude from analysis if desired.,1
25218,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG14-012-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,conflicting injection dates. Used Rick's data. 2020-11-05 vs 2020-11-06,0
25219,nf1 wt; pten KO; ink KO; atrx wt,,,,,,,,,,RH,,,1
25220,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG14-013-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,conflicting injection dates. Used Rick's data. 2020-11-05 vs 2020-11-06,0
25221,nf1 wt; pten KO; ink KO; atrx wt,no glioma observable,,,,NFG14-014-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,conflicting injection dates. Used Rick's data. 2020-11-05 vs 2020-11-06,0
25238,nf1 wt; pten KO; ink KO; atrx KO,"no glioma observable, but the head tumor is there",,,,NFG14-015-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25239,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-016-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25240,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-017-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25241,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-018-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25242,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-019-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25258,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-020-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
25259,nf1 wt; pten KO; ink KO; atrx KO,no glioma observable,,,,NFG14-021-NF-1 N-TVA ORIGINAL H&E 25085-26280,,,yes,1,RH + RE,,,0
